Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Rajputana_Cabs,Olaf D,4.0 of 5 bubbles,Jan 2023,Best choice for a taxi in Jodhpur!,"When we planned our stay in Jodhpur, I randomly googled a taxi company to arrange a pick-up at the airport. Later, when it became clear that we would stay in Jodhpur and drive to the wedding in Pali each of the two days, we got in contact again and arranged also those trips. As we had to buy some local dresses for a wedding, our driver was also available to pick us up at the hotel and organize all the places we wanted to go to. We expected a taxi, what we finally got, was a very motivated and friendly driver who did not only drove us around, but a go-to person that took care of all the small things and questions we had as India newbies. I warmly recommend the company and especially the driver Digvijay. So, when you are in this area and need transportation plus perfect service around in Jodhpur, Rajasthan get in touch with this company."
Rajputana_Cabs,Vikas P,5.0 of 5 bubbles,Jan 2023 • Family,Jaipur to Delhi travel,"Had an excellent experience with the ride I took with family. The driver Firoz was professional, the car was clean and comfortable, and the ride was smooth and efficient. Highly recommend!"
Rajputana_Cabs,Anurag T,5.0 of 5 bubbles,Jan 2023 • Family,Very nice,Rajputana cabs provide a good Innova crysta and a very good driver Mr Varinder Singh. He was very flexible with the time and places for sightseeing and was also knowledgeable about local traffic situations that helped us plan better. Ms Divya from their sales team was helpful. I paid extra amount by mistake and Mr Tarun from their transport team immediately refunded back Overall good experience.
Rajputana_Cabs,Ravneet singh,5.0 of 5 bubbles,Dec 2022 • Family,Wonderful,We had a wonderful experience with rajpurtana cabs. Specially the guy RAGHUVEER SINGH who dealt with us so politely and patiently.
Rajputana_Cabs,utkarsh m,5.0 of 5 bubbles,Jan 2023 • Family,Jodhpur to Jaisamer taxi ride,Driver was very polite and friendly. He came on time and even waited for 45 mins very politlely while we came down. The pricing was also very reasonable.
Rajputana_Cabs,Francisco Garcia,5.0 of 5 bubbles,Jan 2023 • Family,Excellent.,"Very good service from Delhi to Agra, we were at all times safe and comfortable! The driver was amazing."
Rajputana_Cabs,eztravel394,1.0 of 5 bubbles,Dec 2022,Poor experience,"We took two trips. One was a 5 day multi-city trip and another was a one way drop. If we had only taken the first trip my rating would have been 2-2.5 stars.Pros:+ They are one of the few cab companies who responded when we asked for a quote 2 weeks before travel during peak season. + They are not the lowest priced (some aggregators beat them) but they were somewhere close to the lowest quotesCons- Terrible response after you pay the advance. For Trip 1 they asked me to call back 2 days back. After multiple calls/whatsapp the driver contacted me the previous day evening. For Trip 2, the driver called me 1 hour before and I was relying on this service to drop me at Delhi airport to catch a plane!- Cars that were assigned were bad. The cat assigned to the first trip was bad. The one assigned for the second trip was terrible. It has more than 250000 kms broken rearview mirrors and severely dented back. It was stinking of cigarette smoke. - Drivers weren't very professional. Issues included  sending whatsapp messages while driving, giving excuses to take the car inside busy parts (driver asked us to go by auto), etc. Summary: If you want something on the cheaper side Rajputana cabs is an option, but you may find other aggregators. If you are looking for good service, clean cars and professional drivers look elsewhere."
Rajputana_Cabs,Nivedita A,5.0 of 5 bubbles,Jan 2023 • Family,Shimla-Manali trip,Our cab driver Pawan ensured we had a very comfortable journey - he was very knowledgable with the sightseeing hotspots and navigated hill driving very well. He played a vital role in ensuring our holiday experience was a memorable one.
Rajputana_Cabs,Mkhan,2.0 of 5 bubbles,Dec 2022 • Couples,Dodgy behaviour for a top rated cab company,"Dealing with a highly rated cab shouldn't come with hassles.. My cab was assigned by a Dashrath Godara.. It was not a licensed taxi but a private car. The driver told us to say this was my brother's car in case the cops stop us. The driver was not very confident and even lost his way on the way to Jodhpur.Towards the end of the trip it turned out that Dashrath had provided the wrong drop date for the tour and the driver insisted that we were to end the tour a day early..this was despite my having confirmed the dates on chat (screenshot attached).Dashrath said he'd provide us the drop the next day but he didn't, instead asking us to get a taxi from the hotel and reimbursing it. Following up with Dashrath for the reimbursement has been met with radio silence.Overall, i would not recommend them at all and would say it's better to go via a trusted Travel agency or aggregator."
Rajputana_Cabs,Isaac,5.0 of 5 bubbles,Dec 2022 • Couples,Superb experience,"The car was arranged in advance, and we even got a better car than expected. The Driver Lal Singh was also very friendly and provided a smooth experience. Highly recommended"
