Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Victoria_Memorial_Hall,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Beautiful,"Inside the Monument, you can see life and times of Netaji and other freedom fighters. Located across Kolkata's famous Maidan, this is a favourite for all tourists."
Victoria_Memorial_Hall,sindhu ramasamy,5.0 of 5 bubbles,Dec 2022,Virtual Tour of Victoria Memorial Hall,"I thoroughly enjoyed digitally exploring Victoria Memorial Hall, and I would suggest it to anyone who is considering visiting West Bengal or who wants to see a historical location.Since I am a historophile with limited resources, I took the tour digitally using the Google Arts & Culture page, thanks to advancements in technology. To find the webpage, simply Google ""virtual tour of Victoria Memorial Hall."" You may also download the Google Arts & Culture mobile app.To being with, the entrance had a grand garden that was well-kept, and I noticed that it provided free WiFi. After that, I entered the museum. It provided a lot of information on the artistic history of Bengal. Its huge walls, mind blowing architecture, statues, and manuscripts caught my eye. It had priced paintings that were eye-catching, especially the ones that depicted the yogic postures and artworks of famous painters. I liked the rare photographs that reflected India in British times.I found an arsenal of artillery to be very attractive and has been showcased throughout the entire interior. They displayed British rule and architecture precisely and beautifully, even in black and white.To conclude, it was very informative, and the virtual served the purpose. This virtual tour will surely leave you wanting for more!"
Victoria_Memorial_Hall,Saurav Mitra,1.0 of 5 bubbles,Dec 2022 • Friends,PRETTY BAD BEHAVIOUR AT THE DEPARTMENTAL CANTEEN AT VICTORIA MEMORIAL PREMISES.,"Very ill behaved staffs at the departmental canteen, we entered the canteen to ask whether the canteen is operational or not, the person replied that can't you the see the board outside!This is the way , you all reply! No sense of hospitality. May be they are aware that Tourism Ministry is not bothered, no actions would be taken! Can they reply such a way to foreigners too?!A successful tourist attraction is actually a blend of everything elements of hospitality."
Victoria_Memorial_Hall,Sounhakan M,5.0 of 5 bubbles,Dec 2022,#newage #Virtualreality,"Experience The Virtual Tour To Victoria Memorial Hall, Kolkata.I was always fascinated about the evolution of the internet and I'm amused by thinking what all can be done while sitting at the comfort of our home. With this I have decided to make a visit to the Victoria memorial hall.Come with me as I walk you with my narrative to the virtual experience.Queen Victoria's marble statue had got all my attention directly from the entrance. As a person with lot of love and interest to arts and paintings, my fingers on the mouse started to automatically scroll to the top inside of the central hall with a variety of paintings giving an idea about the Britain courts in the tombsComing to Antiques....I quickly imagined myself as a person who was living with those armoury and the legendary cannons stored in the memorial, wahh! That would have been great if it was real. But let's come back to realityThe photos of Ramakrishna Paramahamsa along with his student Swamy vivekananda brought peace with in me, and this also reminds me of a famous quote “Talk to yourself once in a day, otherwise you may miss meeting an intelligent person in this world.” - Swamy Vivekanada.After this virtual experience, I’m sure that I’m going to make a visit to The Victoria Memorial Hall directly. Will also urge you people to experience the virtual worlds."
Victoria_Memorial_Hall,Akanksha,4.0 of 5 bubbles,Dec 2022,Victoria Memorial Hall Virtual Tour,"I came across this spectacular Victoria Memorial Hall virtual tour, which has a stunning collection of western paintings, rare photographs, Indian paintings, and manuscripts. I could literally see the details of amazing paintings, many of which were made by Indian queens, which I could even zoom into. I could see the beautiful architecture, and I could feel that I was literally in it. It was thrilling. I could even see fine details of the swords that were used by our great kings, and it gave me chills. I could see the western sculptures, which were finely made. And I could experience the great, breathtaking richness of Indian architecture just by looking at the amazing photographs. I appreciate this wonderful technology that allows me to see and feel these heartwarming creations from the comfort of my own home. This is a must-see! If you want to tour, it doesn't matter if you have money or not; you could immerse yourself in the beauty of tourism with the help of technology."
Victoria_Memorial_Hall,Dolly,5.0 of 5 bubbles,Feb 2022,""" A truly Memorable Monument""","I finally got the chance to visit Kolkata, and when I did, there is no way I would have missed visiting this astounding memorial, which is known for its majestic British architecture and beauty that attracts thousands of people from all over the world. This memorial truly reflects the standing record of the history that was made in the memory of the deceased Queen Victoria. The statue is built of white Makrana marble that is eye-catching and worth looking at. The walls of the museum also had various scriptures written in different languages, including English, Sanskrit, and Urdu. It also had a lot of valuable collections, such as artefacts and cultural and historical paintings, including those of freedom fighters like Subhas Chandra Bose. This place is so inspiring, and everyone should visit at least once in their lifetime."
Victoria_Memorial_Hall,Sunnywin,4.0 of 5 bubbles,Sep 2022,Amazing building and grounds,"The building is stunning as are the grounds but I was a little disappointed by the content, not a good museum. "
Victoria_Memorial_Hall,KNKD,5.0 of 5 bubbles,Sep 2022 • Couples,A monumental memorial,"Kudos to the authorities for the maintenance of this mammoth structure and the calming well maintained gardens and water features around it. One can purchase a ticket to enter the garden area only and enjoy the duck ponds, shady trees and benches. The flower beds are beautifully maintained as well. The structure looks fresh and almost brand new, the inside exhibition was well put together and in theme (we visited around 15 August). Pick a map of Kolkata and postcards from the seller, to send to family and friends on your way out of the gardens."
Victoria_Memorial_Hall,Let's Go Sightseeing,5.0 of 5 bubbles,Jul 2022,Iconic,"The Victoria Memorial is an iconic structure & is synonymous with Kolkata! Even the rain couldn’t dampen my excitement of visiting. For the Victoria Memorial, two kinds of tickets are available – one for the gardens (INR 10) & one for the gardens + museum (INR 30).The pathway is flanked by gardens on both sides. A statue depicts Queen Victoria in her later years sitting on a throne.I absorbed Netaji’s life stories, ideals & beliefs in the Irrepressible Subhas gallery. You'll ponder how less we know about Netaji.The Royal Gallery on the ground floor consists of oil paintings from the British Raj. The other set of paintings I liked were by the Daniell duo; they traveled across India & documented what they saw in their paintings.As you exit the Victoria Memorial building, go to the first floor to see Biplobi Bharat Gallery. It contains aspects of the Indian freedom struggle that haven’t been given their due importance in the mainstream narrative (Revolutionaries & Armed Resistance). Take your time reading through contribution of Naval Mutiny, formation of significant associations etc.Drive around the Memorial at night; it looks even more marvelous with its illumination."
Victoria_Memorial_Hall,Nuruddin,4.0 of 5 bubbles,Oct 2021 • Solo,Victoria memorial Kolkata,"Victoria memorial is one of the centre of attraction of kolkata, a marble building known as victoria memorial is a museum come a heritage building under the cultural ministry of indian government, located in the maidan area of kolkata, has it's own aesthetic, value and pride throughout the world.in 1906, even a much longer ago of our independence, the monument was established on the queens way of kolkata, a locality from maidan area of kolkata; in the memory of queen victoria.from maidan metro station, it takes 2-3 minutes by walking distance to reach the front gate of victoria memorial."
