Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Academy_of_Fine_Arts,ankan146,4.0 of 5 bubbles,Jan 2020,for fine arts lovers,"IT IS is one of the oldest and finest art societies in the country. near victoria memoriala and st,pauls cathedral  It consists of an art gallery and a museum. The museum on the first floor has a priceless collection of exclusive objects d’art. The items on display include rare paintings by famous artists such as Rabindranath Tagore and Jamini Roy.  6GALLERIES AND AUDITORIUM AND MUSEUM .are here.galeries and auditorium can be rented.The gallery of Contemporary Art has a good collection of paintings and sculptures from 1900 to present day, that includes Acharya Abanindranath Tagore, Gaganendranath Tagore, Nandalal Bose, Asit Halder, Kshitin Mazumdar, Samar Gupta, Benode Behari Mukherjee, Sarada Ukil, Sudhir Khastagir, Ramkinkar Beij and many others. The Old Textile Gallery has unique collection of Balucharis, Benarasis, Chanba Rumal, Daccai Jamdani, Patola and others. The Balucharis with the names of the master weaver Shri Dubraj and Gostha Karikor are unique. Another important collection of Academy museum is the T. Leslie Martin collection of Carpets that are housed in the Carpet Gallery. The Old Engravings Gallery is rich with the art works of Danielle, Colebricke, Joffany, Atkinson and others. The Contemporary Graphic Art and Line Drawing Gallery houses the works of Jainul Abedin, Nandalal Bose, Ramendranath Chakraborty, Chitta Prasad, Mukul De, Haren Das and others. timings-10am=5pmno admission fee.(vote if helpful  thumbs up near review)"
Academy_of_Fine_Arts,rajveer0072016,4.0 of 5 bubbles,Nov 2019 • Solo,Nice,Academy of Fine  Arts is a building where many exhibitions organise relating arts and many others.Some day ago an exhibition about postage stamps happens here.
Academy_of_Fine_Arts,RadhikaRoehampton,4.0 of 5 bubbles,Oct 2019,Cultural centre,A place where lot of cultural activities are going on. You can visit exhibitions of a wide range of artists exhibitions change weekly.
Academy_of_Fine_Arts,Rajveer2018,4.0 of 5 bubbles,Jan 2019 • Solo,Academy of fine arts ,Academy of fine arts is a famous name of Kolkata.This is the place where organisations presents their creativity.
Academy_of_Fine_Arts,Amolak Rattan K,5.0 of 5 bubbles,Jan 2019 • Friends,Promoting Art in Kolkata,Bengal has been a State where Art is nurtured by the artists. This Academy is the best destination for young artists to display their work for the visitors and tourists. Through out the year many exhibitions are held and one can see and appreciate the work of different artists. A must visit attraction.Amolak Rattan Kohli Former Governor of Mizoram
Academy_of_Fine_Arts,Sudipta Shaheen,5.0 of 5 bubbles,Oct 2018 • Friends,Heaven for Art lover,"This is not for the common people, but if you njoy paintings, this is the place for you. This is a historic place."
Academy_of_Fine_Arts,BananaLu,5.0 of 5 bubbles,May 2018 • Friends,A place to keep!,"Happy to see such places where people including students can display their art pieces. Some were by confirmed young artists, some by school children. It was a interesting mix and I hope this place will remain open! Great visit! Artists were there and ready to discuss."
Academy_of_Fine_Arts,KHAGENDRANATH J,4.0 of 5 bubbles,May 2018 • Couples,One of the oldest fine arts centre of India,"The Academy of Fine Arts, Kolkata, formally established in 1933 by Lady Ranu Mukherjee, is one of the oldest fine arts societies in India. It was initially located in a room loaned by the Indian Museum. In the 1950s the academy was shifted to the present location. There are some famous paintings here like Saat bhai champa by Gaganendranath Tagore, Shiva with Ganesh by Jamini Roy. There are several galleries for exhibition of paintings and photography. There is a theatre auditorium in Academy of Fine Arts which is one of the most popular spots for performers and viewers of the city. Since 1984, an annual theatre festival is organised here."
Academy_of_Fine_Arts,reubenranjanfern2017,4.0 of 5 bubbles,May 2018 • Friends,Full of art and design.,An art gallery that had some really cool paintings. This place also offer course on applied art. Very nice place.
Academy_of_Fine_Arts,sarmisthasinha,4.0 of 5 bubbles,Jan 2018 • Friends,Place for Cultural gathering,This is a place for cultural gathering. Many exhibitions are done in this galary. It is situated near maidan thana or excide bus stop.
