Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Acropolis_Mall,Prakash V,4.0 of 5 bubbles,Dec 2021 • Couples,Good experience,Nice experience with good ambience the cleaning is very nice and proper sanitization. Good place to hangout with friends and family.
Acropolis_Mall,Bapan,3.0 of 5 bubbles,Aug 2021 • Family,Another mall in South Kolkata. Cheers for generation next,Just another mall. Good layout. Convenient communication. Food court and Cineplex all there but no book stall. Good enough for hang outs and eating out. Parking is a big issue during the evening time. If you are a resident of Kolkata it is very easy to have public transport . Close to the Gariahat Market and that's an advantage. If you go try  Cavender's Milk shake . 
Acropolis_Mall,Mitul D,4.0 of 5 bubbles,Jan 2021 • Family,Missing Starmark,"Its a good palce to spend leisure time particularly being near to my place...However,one thing I missed dearly is a Starmark store...this would make it a wholesome place."
Acropolis_Mall,ShallineeR,4.0 of 5 bubbles,Feb 2020 • Family,A great hangout. ,"This shopping mall was very near to our hotel. It has many branded outlets. Pricing is moderate and choices are a plenty.The food court on the highest level is large and has many outlets such as Burger King,  KFC, Vaango. "
Acropolis_Mall,sen,1.0 of 5 bubbles,Feb 2020 • Solo,MOB LYNCHING BY MALL SECURITY,"common citizens get mob lynched & beaten to death for asking mobile charger during emergency.A prominent & reputed singer from Murshidabad asked for a phone charger as his phone was dead & he needed to call home,the mall security suddenly started behaving badly & the situation escalated to the point where he was dragged & beaten by 15 -20 private security of the mall"
Acropolis_Mall,Avishek Bose,5.0 of 5 bubbles,Jan 2020 • Family,Perfect place to hangout in Kolkata,"Located at a 5 min distance from Ruby More, this mall attracts a significant amount of crowd every day (especially teenage).One of the best thing o like about this place is the food Court has numerous options rather than other City shopping malls in Kolkata."
Acropolis_Mall,tublukolkata,3.0 of 5 bubbles,Dec 2019 • Family,New year celebration,I my mother and my 10years old daughter went to Inox movie theatre to watch professor sanku elderado movie the movie is very interesting esspacially for the children the price of the ticket is 180rs the atmosphere of the theater also very good we enjoyed a lot went in the evening show at 5:30pm
Acropolis_Mall,sarmisthasinha,5.0 of 5 bubbles,Dec 2019 • Friends,Excellent ,"This mall is situated at a very good location. It is having cinepolis, a big food court, and many brands and shops. I love this place. "
Acropolis_Mall,Souvikkg,4.0 of 5 bubbles,Dec 2019,One of the best malls in Kolkata,The mall is located near Ruby General Hospital and is 10 mins drive from Gariahat. It is beautifully maintained and boasts a mix of premium and sub-premium stores.
Acropolis_Mall,Sazsarker,3.0 of 5 bubbles,Sep 2019 • Family,Good Mall with less public transportation,Good Mall with less public transportation. It's hard to catch public transportation after eveningHave expensive movie theaterNot value for money
Acropolis_Mall,Soumendu B,3.0 of 5 bubbles,Aug 2019 • Family,Food court is meaninglessly evidence,The big restaurants and KFC are OK but other counters are unnecessarily expensive. The South Indian food counter need to think about their price and Wao Momo need to ensure they have enough stocks. Overall - OK types but other malls are better in terms of food.
