Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Howrah_Bridge,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Magnificent,"The sheer engineering marvel that Howrah Bridge is, and the volume of traffic that this bridge sees at all hours of the day, is to be seen to be believed."
Howrah_Bridge,Explore63488745695,5.0 of 5 bubbles,Sep 2022,Trip to Howrah,The trip was while boating from one place to another. It was good for a group of friends who wants to enjoy in the city
Howrah_Bridge,Let's Go Sightseeing,4.0 of 5 bubbles,Jul 2022,The Most Famous Bridge in India,"The Howrah Bridge, also called Rabindra Setu, connects Howrah & Kolkata. I crossed the Howrah Bridge first in the cab & went till the Howrah Station. When I returned to the Bridge, I got down & walked.There's no provision to enter the pedestrian path from the vehicular road anywhere on the Bridge; only at the ends. When you walk, you enjoy this cantilever bridge & the Hooghly flowing below. The pedestrian path can be a little dirty though."
Howrah_Bridge,Rajib sk,5.0 of 5 bubbles,Sep 2022 • Family,Nice,"I was mesmerized to see this huge iron & steel structure, without any support in the river, when I visited Calcutta, way back in December, 1979. The Britishers have surely given a nice engineering gift to India !"
Howrah_Bridge,Nasim akhtar,3.0 of 5 bubbles,Nov 2021 • Solo,"Howrah bridge is a beautiful, powerful and historical bridge","The Howrah Bridge is a balanced cantilever bridge over the Hooghly River in West Bengal, India. Commissioned in 1943,the bridge was originally named the New Howrah Bridge, because it replaced a pontoon bridge at the same location linking the cities of Howrah and Kolkata (Calcutta). On 14 June 1965, it was renamed Rabindra Setu after the great Bengali poet Rabindranath Tagore, who was the first Indian and Asian Nobel laureate.It is still popularly known as the Howrah Bridge."
Howrah_Bridge,MariaSanchez231,4.0 of 5 bubbles,Aug 2022 • Friends,The famous howrah bridge ,The cultural icon of Kolkata is a impressive site. It is a interesting experience to just watch the world pass by months bridge.
Howrah_Bridge,Romantic Suraj,5.0 of 5 bubbles,Feb 2022,Best bridge to See,"I just love this bridge. You must visit one time if you are planning to visit Kolkata.About the BridgeThe Howrah Bridge is a cantilever bridge on the Hooghly River in West Bengal, India. It connects Kolkata and Howrah, which are both located on the west bank of the river.The bridge was commissioned in 1943 and opened for use in 1945. It carries six lanes of road traffic and has a pedestrian walkway on either side. The bridge spans approximately 1,600 meters (5,249 feet) from end to end. It is one of only two bridges across the Hooghly River downstream of the Vidyasagar Setu (the other being the new Vivekananda Bridge)."
Howrah_Bridge,pat z,4.0 of 5 bubbles,Jun 2022,Heart of Kolkata,"Stand on the side of this bridge and watch the flower market, ghats, endless streams of people carrying amazing loads, horrible noisy smelly traffic and everything else that makes Kolkata Kolkata."
Howrah_Bridge,Jaggy,5.0 of 5 bubbles,Jun 2022,Breathtaking marvel,Must watch in the evenig and day time..  Have a walk on the bridge to experience and observe its consruction; 
Howrah_Bridge,Amod,5.0 of 5 bubbles,Apr 2022,Awestruck,"Despite travelling under the Howrah Bridge in the past, each new ride is an experience. As one gets closer to the Bridge it fascinates you - or if can admit scare you a bit!!!This time when we traversed the bridge twice I was happy to see less traffic which is a rarity as you cross the ever crowded Howrah suburb"
