Tourist Attraction,Name,Rating,Date and criteria,Title,Review
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Arun K,4.0 of 5 bubbles,Oct 2019,HARE KRISHNA !  HARE RAMA !,"ISKCON Radha Krishna Temple is a highly spiritual place for the devotees. Also called Sri Sri Radha Govind Mandir , ISCON focuses mainly on spreading the teachings of Lord Krishna. It is not restricted to any one particular religion and welcomes people interested in learning about these teachings with open arms. The temple is a serene complex that houses beautifully ornamented idols of Goddess Radha and Lord Krishna. The complex is very well maintained and provides serene atmosphere to devotees to soak in the heavenly vibes.This spiritual path introduces people to the Sanatana Dharma / Vedic Culture and helps them to lead a stress-free life. Visitors can also enjoy a 100% vegetarian satvic meal that is prepared by the volunteers in hygienic conditions. Most of the devotees visit the temple to clear their minds of endless worries and to purify their souls through the chanting of the 'Hare Rama' mantra. Visit to ISKON temple is unique experience"
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Shreya Sharma,5.0 of 5 bubbles,Dec 2019,Krishna devotee temple,"The ISKCON temple is a big temple to praise lord Krishna, the supreme of all the hindu Gods. It is a beautiful temple which is must visit."
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,silva s,3.0 of 5 bubbles,Aug 2019,Good quaint temple,This place is tucked away within the hustle and bustle of the city. Very nice radha krishna temple. You can visit and see aarti here. No puja can be offered here to the deity. Prasad can be bought separately. There is a veg restaurant downstairs which sales all types of veg items.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,bosek01,5.0 of 5 bubbles,Oct 2019 • Family,Spiritual place,Wonderful atmosphere with perfect calmness in the heart of the city.Kirtan of mahamantra is absolutely fantastic with so many people are dancing.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Travel with Hemant,3.0 of 5 bubbles,Sep 2019 • Friends,Darsan of lord Krishna,its takes around 20 minutes to see the temple. best time to visit in morning around 10 am or evening between 5-7pm. After visiting you h=can have good vegetarian food at a restaurant  there too.  
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,meenakshimuthusamy,5.0 of 5 bubbles,Aug 2019,Beautiful,It is a famous place.The place is very beautiful.It is a krishnar temple.It is a well maintained place.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Karpagavalli,5.0 of 5 bubbles,May 2019,Wow so beautiful,"This is one more branch of the famous is con temple dedicated to lord krishna and rata. ,maintained by the iskcon group of krishna devotees,."
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Abhinav Kumar,5.0 of 5 bubbles,Aug 2019,Best place for finding seclusion in peaceful and beautiful environment,It is one of the best and authentic Hindu temple around the city. Must to go with friends and family.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Mander Mukherjee,5.0 of 5 bubbles,Jun 2019 • Friends,"A Peaceful Place For Krishna,'s Devotees ",A great peaceful place for worshipping the Lord Krishna. This place also houses Govindas restaurant where one can find tasty veg foods. It also houses a shop for buying momentous. They also have staying facilities for guests. 
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,AnuB,5.0 of 5 bubbles,May 2019 • Solo,"ISKCON style pure vegeterian food with no onion,  no garlic","Pure veg food with no onion and garlic is rarely available in Kolkata. Any Bhakta coming to Kolkata might look for pure veg food and may not get it easily.  ISKCON style pure vegeterian food with no onion , no garlic ,  less chilly , no negetive pranic food is available near ISKCON temple, in Kolkata from Satvik  : ph 9007892117. Ingredients used are from different Ashrams and are pure. Pure Desi Cow  ghee is used in food preperation."
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Yogesh raval,3.0 of 5 bubbles,May 2019 • Business,ISKCON GUEST HOUSE kolkota,"The Iskcon kolkota is in the heart of city well conttected with all utilities and facility Minto park is live till 11 pm , If you are foody next street is hunger ford street start servicing breakfast as early @ 5.45 in the morning.It was indeed satisfied experince , I was alotted well maintained clean room with AC , clean toilets , You need to carry your own bathing shower gel/ sop and detergents. We had opportunity to get participated in archana before the daity lord radha , krishna , balaram & devi subhadra .As regards  , restaurant and complimentory services are ok , you need to arrive on time to get complimentory prasad on schedule time.Guest house management is promt and courteous. Over all three star experience .Hare krishna , Hari bol !!!"
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Amolak Rattan K,5.0 of 5 bubbles,Dec 2018 • Friends,You are at peace and tranquility,This is a very well kept and maintained attraction. There is Radha Krishna temple and Daity is well revered. The entire place makes you feel relaxed and comfortable and you are at peace with you and experience tranquility.Amolak Rattan Kohli Former Governor of Mizoram
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Priya M,4.0 of 5 bubbles,Nov 2018 • Family,Best Iskon temple,Iskon Kolkata is very well maintained and clean temple. Had good time and it was very peaceful visit. 
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Saheli Pal,3.0 of 5 bubbles,Dec 2017 • Couples,Devotional place in middle of the city,If you are spiritually inclined then this is a good place for you. Mainly it is radha-krishna temple based on prabhu pad's philosophy. They keep organising various devotional programmes and spiritual sessions. If you are interested then you can register there. I attended few and have found it good.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,SRIKAKOLAPU,5.0 of 5 bubbles,May 2018 • Friends,nice and good,Go during the time of aarthi to get the best of the temple.This is fine and has the grandeur of all the temples of ISKON and well maintained as usual
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,crafttrip,5.0 of 5 bubbles,Dec 2017,awesome,ISKCON Radha Krishna Temple is a highly spiritual place for the devotees. The temple is also called Sri Sri Radha Govind Mandir and mainly focuses on spreading the teachings of Lord Krishna
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,VINAY S,5.0 of 5 bubbles,Apr 2018 • Family,amazing peaceful temple,amazing experience to feel peace there.. amazing feeling.. must visit place in town.. food is also superb there..
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,amar.jeet,4.0 of 5 bubbles,Jul 2018,"Very good place, if you need peace of mind",More than 20 years old this temple mainly has statues of Lord Krishna along with Radha. I visited this place before joining my new job. The only thing to keep in mind before visiting this place that they don't allow backpacks inside temple so you have to arrange on your own to keep the bag outside the temple.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,argha2715,5.0 of 5 bubbles,Jul 2018,ISKCON KOLKATA,its a radha govind temple where you can go for spent some peaceful time.its the most relaxable and peacefull place that i have ever trip.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Tamalika M,4.0 of 5 bubbles,Jul 2018 • Solo,Eternal Peace,"Visited the temple on many occasions during the morning time and I must say, you feel at peace when you are there. Witnessed the daily morning aarti and listened to some spiritual learning sessions. Iskcon also has the facility of daily morning breakfast from 8-8:30 AM at a nominal cost of Rs 30/head. Special dishes were prepared during the 7 days of the RathaYatra festival. Apart from Ratha Yatra, Jhulan Yatra, Janmastami and other festivals are also celebrated here with grandeur."
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,vishphoo2231,4.0 of 5 bubbles,Jul 2018 • Business,kishna temple,"ISKCON Kolkata, is lord kishna temple  temple peaceful place of lord kisnna any time favorite  loved it "
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Sarmistha G,4.0 of 5 bubbles,Jun 2018 • Family,PEACEFUL ! ,This is where i find heaven. The place is so calm and the aartis are a treat to the eyes. 😍 I just love this place. And the best time to visit here is during the evening. I personally love to go there at that time of the day. 😇
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,sonamb754,5.0 of 5 bubbles,Mar 2018 • Couples,Peace!!,Iskon Temple everywhere is so peaceful that you can simply go and sit for hours. The Krishna-Radha idol is mesmerizing and smile on their face will drive you away from all your stress.
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,lucelucilla,1.0 of 5 bubbles,Apr 2018 • Solo,Unpleasant for a female solo traveller,"I am sorry I spent my time looking for this place: people were generally unfriendly and as a female solo traveller I have been repeatedly rudely addressed. In the coffee shop the waiter wouldn't even talk to me. I understand religious constraints but I believe this goes beyond. I feel sorry as I had always thought of this religion as based on equality and joy, and I was wrong. From the architectural point of view the temple is nothing meaningful either."
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Nish2013,5.0 of 5 bubbles,Mar 2018 • Solo,ISKCON Kolkata,"This is a must if you in Kolkata. There are deities in there, whom you can take blessings. There are set times for blessings. Check the site for times. There is a Govindas downstairs where you can sit in or buy take-out. Pure vegetarian food."
ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.ht,Rohit B,5.0 of 5 bubbles,Nov 2017 • Family,ISKON,"As usual, people travel to ISKON to achieve mental peace from the hectic schedule of the day. located at the heart of the city is an added advantage"
