Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kolkata_Zoo_Zoological_Garden,Abu Taher,1.0 of 5 bubbles,Sep 2022 • Solo,Zoological gardens,"The Zoological Garden, Alipore (also informally called the Alipore Zoo or Kolkata Zoo) is India's oldest formally stated zoological park and a big tourist attraction in Kolkata, West Bengal. It has been open as a zoo since 1876, and covers 18.811 ha (46.48 acres). It is probably best known as the home of the Aldabra giant tortoise Adwaita, who was reputed to have been over 250 years old when he died in 2006. It is also home to one of the few captive breeding projects involving the Manipur brow-antlered deer. One of the most popular tourist attractions in Kolkata, it draws huge crowds during the winter season, especially during December and January. The highest attendance till date was on January 1, 2018 with 110,000 visitors."
Kolkata_Zoo_Zoological_Garden,Zac Chacko,5.0 of 5 bubbles,Apr 2022 • Family,A good zoo to visit ,"Went with four children 11-14 years old. We could go around the whole zoo in about 3 hours. The enclosures were quite nice and the animals well looked after it seemed. Some have glass walls so you get a good view. The weather was not very hot so there was some comfort in the shady parts. Otherwise, it just about stretched the endurance of the troupe. Adequate places to buy water and refreshments are there inside the Zoo. Overall a pleasant experience."
Kolkata_Zoo_Zoological_Garden,Explorb Travels Pvt Ltd,5.0 of 5 bubbles,Feb 2022 • Solo,Awesome Experience,"Awesome Experience, I visited Kolkata Zoo, India's oldest formally stated zoological park and a big tourist attraction in Kolkata, West Bengal"
Kolkata_Zoo_Zoological_Garden,Anjan Sengupta,3.0 of 5 bubbles,Mar 2021,Losing the Glory,"Apart from being the oldest Zoo in India, this was once considered to the largest too. Sadly, the glory doesn’t remail here as of now. As on today, its a small Zoo with nothing unique. Years of apathy from the Government Authorities have taken a toll on this Zoo. This can be visited if you have children with you, but you will be disappointed if you had already visited some of the bigger Zoos in India."
Kolkata_Zoo_Zoological_Garden,Aditya Singh B,3.0 of 5 bubbles,Oct 2021 • Family,Small but interesting zoo,"Good zoo, not a very big one as compared to other zoo in the country. Lots of animals around the world are here including tiger, lion, elephant, leopard, alligator, zebra, giraffe, sloth bear, deer, hyena, hippopotamus,  rhinoceros and lots of birds are here. Snake section was almost empty.  Parking also organized by private people with no parking slips provided and are charging Rs.100/- for as much time you visit."
Kolkata_Zoo_Zoological_Garden,KeshavChakraborty,5.0 of 5 bubbles,Oct 2020 • Solo,Large area with good amenities,"I booked ticket online on 13 Oct 20(offline also available now) and visited the place as Being frequent visitor of Kolkata since childhood, I couldn't make it.Giant trees with name board punched and free local birds make this place really enjoyable for a nature lover.Some of the species(e.g Jaguar and others) now not available.A large area to enjoy weekend with your family."
Kolkata_Zoo_Zoological_Garden,Kunal_Bhowmick,3.0 of 5 bubbles,Jan 2020,Oldest Zoo of India,"Entrance fee : ₹10 for kids (upto 5yrs) and ₹30 for anyone above 5yrs...Timings: 9AM to 4.30PM (ticket counter)9AM to 5PM (zoo Garden)10.30AM to 5PM (Aquarium)The facility is open all day except Thursday...(except on public holidays)...If you are planning to go to a natural place along with your family or friends, it can’t get any better than going to Alipore Zoological Garden, Kolkata...It is one of the most visited place in Kolkata...however, since it is a very crowded place😐😐...the place is not maintained properly😑😑...at times even endangering lives of the poor animals😤😤...most of times its because of the visitors who tries to tease these birds 😡😡...recently a pair Kangaroos died because of this idiotic behavior by the visitors...😡😡With the mesmerizing nature and a wide variety of animals, it certainly will be the most rejuvenating as well as educative experience for you and your family...👪This Kolkata zoo started way back in 1876 and is located close to the river Ganga with an incredibly impressive scenic beauty... Unlike any other zoo, this zoo has been consistently engaged in the Sundar Ban wild life preservation...🐯 🐯 Many wounded birds and animals are brought and kept under special care in this Zoo and this has helped massively in the preservation of the endangered species of Sundar Ban...🐯 You can certainly have an amazing time there and if you are along with your family, this is going to the best gift for them... Watching the amazing animals and bird species like This proves the stunning beauty of the Alipore Zoological Garden..."
Kolkata_Zoo_Zoological_Garden,Shoaib Imran,5.0 of 5 bubbles,Jan 2020 • Family,Fun day ,We visited the zoo for the first time in Kolkata and it was very nice. It was a lot of fun to see so many animals. Greta day
Kolkata_Zoo_Zoological_Garden,sekhmofijulrahaman,5.0 of 5 bubbles,Oct 2019 • Family,Awesome,Amazing experience so many people nice awesome Thanksgiving like this place is beautiful Life nice day
Kolkata_Zoo_Zoological_Garden,Parwathi H,4.0 of 5 bubbles,Jan 2020,Kolkata Zoo,The Kolkata zoo located at Alipore is a very popular attraction with the locals. We had been here and spent half a day. The zoo has many enclosures housing animals like hippos and giraffes but they need to be maintained a bit more to make it more attractive for the tourists to visit.
Kolkata_Zoo_Zoological_Garden,Margie9954,3.0 of 5 bubbles,Oct 2019,Visit with grandchildren,Went with my daughter and grandchildren.  It used to open early morning but now timings have changed to 9.30a.m.  Seemed to have less animals than when I used to take my daughter when she was small.  Relatively the enclosures were clean.  It was an easy walk around the zoo.  Elephants and giraffes were very good.  There seemed to be less monkeys than earlier. Nice to have a picnic on a pleasant day
Kolkata_Zoo_Zoological_Garden,Adi- s,2.0 of 5 bubbles,Jan 2020 • Family,Mismanaged and dirty,"Had heard a lot about it and so was excited to visit it, but it didn't lived up to the expectations. Zoo is very mismanaged, no proper indications for directions and not sequentially arranged. Aviary is not good very less variety of birds, in reptile section most of the cages were empty. Animals were not well fed..no lion(only one lioness), no wolf, porcupine or apes(other than one chimpanzee). People were sitting on ground and eating food, littering garbage here and there.Can give it a miss if its not your first zoo visit."
Kolkata_Zoo_Zoological_Garden,MilkyDwarf,5.0 of 5 bubbles,Jan 2020 • Family,Peacock dancing but few feeling lazy.,The zoo inhabitants couldn't have been better lived than here. It feels like inhabitants' home. A two hours treat feels like life is beautiful in nature. Nature that has left us to live on each other but the enormous human love and care has shaken the almighty too.
Kolkata_Zoo_Zoological_Garden,Ajay Sharma,5.0 of 5 bubbles,Jan 2020 • Friends,Good day ,Had a pleasant day with my family and friends. It was fun seeing all the animals. Had a great day. Do visit the zoo if your in Kolkata. 
Kolkata_Zoo_Zoological_Garden,Storyteller776317,5.0 of 5 bubbles,Dec 2019 • Family,ZOO VISIT,A good collection of wild life animals which are commonly not seen by common peoples. Must visit if you love and want to take care of them. Because your visit encourages Government for their betterment.
Kolkata_Zoo_Zoological_Garden,vishal n,5.0 of 5 bubbles,Jan 2020 • Family,Zoo visit with family,Now it's a season that why too much people who visiting zoo in winy..but best place to go with family and children will love this place
Kolkata_Zoo_Zoological_Garden,Arman,5.0 of 5 bubbles,Nov 2019 • Friends,Experience,It is very nice looking zoo.It is beautiful looking for every one in our friends .It have meny animals bird's.We are to vist the zoo .
Kolkata_Zoo_Zoological_Garden,Diksha,5.0 of 5 bubbles,Dec 2019 • Friends,Good day ,Visited the zoo here in Kolkata for the first time. I really had a great time with my friends and family. 
Kolkata_Zoo_Zoological_Garden,Dr_Vimal_Saradava,5.0 of 5 bubbles,Dec 2019,Ideal place for Kids,Alipore Zoo or Kolkata zoo is best place for animal lovers. White tigers only found here. Giraf and White tiger we watched first time there. Approximate time required to roam around would be two hours. Morning hours are preferable. Opposite the zoo is the Hotel Taj Bengal.
Kolkata_Zoo_Zoological_Garden,adityainc,5.0 of 5 bubbles,Dec 2019,Nice place to bring kids,The Kolkata zoo is an awesome place to bring kids and children to see and experience a variety of wild animals and birds.
Kolkata_Zoo_Zoological_Garden,DrSumeet Garg,5.0 of 5 bubbles,Aug 2019 • Family,Awesome,It's a very large and one of the best zoo in india.in this zoo you can see most rare animals like giraffe zebra hippopotamus kangaroo rhino anaconda ostrich etc
Kolkata_Zoo_Zoological_Garden,Rupam,5.0 of 5 bubbles,Nov 2019 • Friends,Nice place to visit in December month,"The Alipore Zoo, also known as the Calcutta Zoo or the Zoological Garden of Alipore, is the oldest zoological park to have been established in India and is a major tourist attraction in Kolkata, West Bengal. The Alipore Zoo attracts tourists from all across the nation who visit the zoo to explore the wildlife that happily thrives here and to enjoy themselves. Spread over an area of 46.5 acres, the zoo has been operating since 1876, when it was first opened to the general public.I visited last month with my friends, it was really a nice place to visit with family and friends 😊"
Kolkata_Zoo_Zoological_Garden,Rahul B,4.0 of 5 bubbles,Nov 2019 • Family,"'Alipore Zoo,Kolkata,West Bengal'",Excellent improvement by government of West Bengal we had a great experience & best of luck & keep maintaining.
Kolkata_Zoo_Zoological_Garden,Shreya Sharma,5.0 of 5 bubbles,Nov 2019,A must visit zoo,The Kolkata zoo is a great place to visit to experience the wide collection of animal it houses along with the beautiful scenery.
Kolkata_Zoo_Zoological_Garden,Sounak Poddar,5.0 of 5 bubbles,Dec 2018,One of the Biggest and Oldest,"Very ancient, well maintained and a good place to be with family and kids. One must visit this place if you are in Kolkata."
Kolkata_Zoo_Zoological_Garden,anigangs,4.0 of 5 bubbles,Nov 2019 • Couples,Kolkata Zoo,LAn excellent place to visit we hold in Kolkata. A must visit in your bucket list. Bengali tigers are really worth watching. A variety of birds and  animals. It has good tree cover. An ideal place for picnic with family
Kolkata_Zoo_Zoological_Garden,Kritee,4.0 of 5 bubbles,Nov 2019,Good hangout with kids,"It is a good place to visit with kids. One of the oldest zoological gardens in India, the variety of animal species is good. Gets a bit crowdy during the holiday season."
Kolkata_Zoo_Zoological_Garden,Tanvi,3.0 of 5 bubbles,Sep 2019 • Friends,Poor staff,I visited here but staff here were not ready to not help . Zoo is good but staff is not good . So please improve it .
Kolkata_Zoo_Zoological_Garden,Kaustav Basu,5.0 of 5 bubbles,Dec 2018 • Family,A holiday spent with kids,"If you have kids or kids in family, then it's a perfect place for a day out. Your kids will really enjoy this tour most. There will be fun for them watching animals in there own mood and habits."
Kolkata_Zoo_Zoological_Garden,Saif rahaman,4.0 of 5 bubbles,Aug 2019 • Friends,Best for animal lover,One of the oldest and biggest zoon in india. The tons of unknown and known anmimal and spices  stay hare.this is one of the besr knowledgeable place in kolkata
Kolkata_Zoo_Zoological_Garden,aastha,4.0 of 5 bubbles,Dec 2018 • Family,Good outing spot,It is a very good outing spot specially during the winters. A very nice place for kids. However it must be kept in mind that it is a no plastic zone.
Kolkata_Zoo_Zoological_Garden,Anu,5.0 of 5 bubbles,Jan 2019,Fantastic Experience,"We had a fantastic time. Enjoyed seeing animals of all kinds. Lion,tigers,bears,deers,crocodiles,reptiles,snakes,birds,peafowls,elephant,zebra, giraffe,hippopotamus,etc."
Kolkata_Zoo_Zoological_Garden,abpunch,4.0 of 5 bubbles,Aug 2019,Love Your Flemingos and Kangaroos ?,"In a short three-hour visit to the zoo costing Rs 30 per person , I managed to see frolicking kangaroos and lazing Royal Bengal white tiger. The panther was panting as it made its rounds. There was a group of menacing wild cats which growled in anticipation. I caught a Monitor Lizard sunbathing, swimming and rock-climbing, and a couple of zebras sleeping in standing position. There were a lot of small, newborn tortoises in many compartments. An ill-tempered chimpanzee was seen throwing his excreta on public. But the best part of it all was the sight of a large number of flemingos, pelicans and swans bathing themselves in the waters, and then having  lunch . It was a day well spent."
Kolkata_Zoo_Zoological_Garden,meenakshimuthusamy,5.0 of 5 bubbles,Aug 2019,Nice time pass,The place is very nice and interesting place in the city.It is very nice time pass.It is well maintained.
Kolkata_Zoo_Zoological_Garden,Karpagavalli,5.0 of 5 bubbles,May 2019,Famous zoo,"The place is a zoological garden houses animals and a tracts people of all ages.the place is well maintained and was so famous among the locals.do carry water bottles,caps,umbrella,nice walking shoes."
Kolkata_Zoo_Zoological_Garden,Satyajit,5.0 of 5 bubbles,Mar 2019 • Friends,JC Bose Botanical garden Kolkata,"We visited to watch the huge banyan tree but we're disappointed to see it in shackles and quarantined for the tourists. On the way back ... happened to see the giant lotus leaves , which made our day."
Kolkata_Zoo_Zoological_Garden,DeekAKGAG,3.0 of 5 bubbles,Aug 2019,good animals but spoiled by plastics,Wide variety of animals but as mentioned place is keep very unclean caused by throwing cups and other plastic covers. Sad to see that we do not respect the place where we keep the animals caged.
Kolkata_Zoo_Zoological_Garden,Upasana chettri,5.0 of 5 bubbles,Aug 2019 • Friends,Vacation,We are here in Kolkata the city of joy for the first time and we get the chance to visit this beautiful zoo we saw many birds reptiles n animals
Kolkata_Zoo_Zoological_Garden,rajveer0072016,4.0 of 5 bubbles,Jan 2019 • Friends,Zoo,Kolkata zoo is a famous zoo in Kolkata.Many people visit here.You can see many animals and very enjoyable. 
Kolkata_Zoo_Zoological_Garden,iamArnabPal,5.0 of 5 bubbles,Jan 2019,iconic place in kolkata,One of the iconic places in Kolkata built by the British. I will not advise anyone to visit during the summer days. The zoo is only good during winters. There are ample toilets and food stalls inside. I recommend not to eat from the small restaurant inside. It is pretty bad.
Kolkata_Zoo_Zoological_Garden,Nilin,4.0 of 5 bubbles,Oct 2018 • Family,Kolkata Zoology Garden,"The Zoological Garden, Alipore is India's oldest formally stated zoological park and a big tourist attraction in Kolkata, West Bengal. It has been open as a zoo since 1876. It is the best place we can visit with our family especially children. We can see animals from different parts of India. Royal Bengal Tiger is the biggest attraction of this zoo.Recently white lapord have been brought.All types of hawker shop at every corner and a mini restaurant is also there in the zoo.A cheap and entertaining place ."
