Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Maidan,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Lungs of the City!,Best place to take a morning or evening stroll. Do not forget to enjoy a Tonga Ride while you are at it.
Maidan,sudeep912,4.0 of 5 bubbles,Dec 2021,fresh air,a great open space in the crowded city. you can walk through. unfortunately no control on littering and garbage. people use it for all purposes. needs interference from corporation
Maidan,BornGlobeTrotter,5.0 of 5 bubbles,Feb 2021,Reunion of High School Friends,"One of the best get-together place for friends getting back together after eons. Due to the covid restrictions, only few places were allowed to be used. Pleas make sure you take your trash with you before you leave. There are food and beverage vendors all around and hence if you plan to destress and just relax with your friends, have the best adda with goppo (catch up stories), food and water. all available under the sky on Maidan Just Relax!"
Maidan,Pritam Bhattacharjee,5.0 of 5 bubbles,Apr 2019,Serene,"Its located near Victoria Memorial. Its a very good place to just relax and chill out, always gives a serene feeling. People also do pre-wedding and post-wedding photography here."
Maidan,Mrudula,5.0 of 5 bubbles,Apr 2019,Brigade Parade Ground,"Maidan is the largest urban park in Kolkata. The huge stretch of land includes the famous Eden Gardens, several football stadiums and the Race Course Kolkata."
Maidan,Mitesh,5.0 of 5 bubbles,Dec 2019 • Family,Nice one,"Maidan is the largest urban park in Kolkata. The humongous stretch of land includes the famous Eden Gardens, several football stadiums and the Race Course Kolkata."
Maidan,RameshKN,5.0 of 5 bubbles,Dec 2019,massive!!!!!,"Huge huge ground, surrounded by historical places and buildings, with some musical fountain at one end, perfect place to relax and spend time. You have ll the clubs near to it like Mohammedan Sporting, Mohun Bagan etc...With the big straight road around, which can be used a runway for flights in case of military emergencies, which once was a no entry zone for Indians, during british raj, it also gives you nostalgic memories.Fort william next to it, now as a military base, is another wonder.You have a war memorial, in itThe great Eden gardens is visible at other end"
Maidan,Shreya Sharma,5.0 of 5 bubbles,Nov 2019,A grand open space,The maidan houses a grand open space area which could be travelled very easily and also used while resting.
Maidan,Kritee,5.0 of 5 bubbles,Oct 2019,Perfect place for free hangout in the midst of nature,"I have been here on many occasions and this is the perfect place for a group hangout in the midst of nature. It has lots of greenery and a big ground to sit and relax, accompanied by tea and snacks from the roadside vendors."
Maidan,Sumit Kasera,4.0 of 5 bubbles,Jan 2019,Horse Ride Near Maidan,"Being born and brought up in Kolkata and having spent almost my entire childhood in the City of Joy, Victoria Memorial and the grounds in front of it had very special place for me. During visits with my parents, we used to feast at the great street food jamboree right in front of the Victoria Memorial – unfortunately very little of that was left now. What was intact however was the large playgrounds of Kolkata called the Maidans. Numerous cricket matches with friends had taken place here – and the place was largely unchanged in the last 3 decades.The place remains the lungs of Kolkata – and the place for future cricket stars like Saurav Ganguly to take shape here. We took a horse ride for a nostalgic trip around the maidan costing about 500Rs. It was good fun. Go to the Maidan for some long walk in the heart of Kolkata."
Maidan,SRIKAKOLAPU,5.0 of 5 bubbles,Apr 2019 • Friends,huge,This is one big place in the midst of the city which is amazing and has good greenery all over and its clean and well maintained
