Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Nakhoda_Mosque,ASM Ittehad Uddin,5.0 of 5 bubbles,Nov 2022 • Solo,Awesome feeling,Largest multi storied mosque in Kolkata located at Zakaria street nearest metro station name Mahatma Gandhi Road.Has wudu khana with shoe rack available to keep shoes safe.
Nakhoda_Mosque,Hasanur Islam,5.0 of 5 bubbles,Oct 2021 • Friends,Really Fantastic masque in Bengal 😘,"The Nakhoda Masjid the largest Muslim Mosque in West Bengal and eastern India. Beautiful mosque which was built in 1926.It is in the Chitpur area of the Burrabazar in Central Kolkata, at Zakaria Street and Rabindra Sarani. It is a very old and famous Masjid in West Bengal."
Nakhoda_Mosque,pattydove,3.0 of 5 bubbles,Oct 2019,Nakhoda Mosque,The Nakhoda Masjid is the principal mosque of Kolkata. It is situated in a busy street. Unfortunately was not able to go inside. Men are allowed. But I loved and did admire the architecture from the outside.
Nakhoda_Mosque,Sea Dweller,5.0 of 5 bubbles,Feb 2020,Beautiful mosque!,"Nakoda Mosque is the principal mosque of Kolkata. It’s in the Chitpur area of the Burrabazar business district in Central Kolkata, at the intersection of Zakaria Street and Rabindra Sarani.     The mosque was built as an imitation of the mausoleum of Mughal Emperor Fouzaan at Sikandra, Agra by Kutchi Memon Jamat. The foundation stone was laid on 11 September 1926."
Nakhoda_Mosque,ShekharMukherjee,5.0 of 5 bubbles,Sep 2019,"Nakhoda Mosque, Kolkata",Nakhoda Mosque construction was started by Abdar Rahim Osman of Kachh in 1926 with a budget of 15 lakh Rupees. Building work was completed in 1942. The Indo-Ceracenic structure was built as replica to Sikandra of Agra (the tomb of Emperor Akbar).There are two minarates with height of 46 metres. The mosque is situated at the crossing of Jackeria Street and Chitpur Road. The mosque is open from 6.00 to 20.00.
Nakhoda_Mosque,Eaglesnow,5.0 of 5 bubbles,Aug 2019 • Business,A visit to the magnificent na khuda masjid,It's really a very attractive place today for all people of all religions and cast they just come to see how magnificent it is by its height and architecture and the brain used to build this four storey building i was really delighted to visit this place
Nakhoda_Mosque,SRIKAKOLAPU,5.0 of 5 bubbles,Apr 2019 • Friends,nice,One of the oldest mosques in the area and is surrounded by shops on all three sides which sell clothes food everything. It has a great architecture
Nakhoda_Mosque,Amolak Rattan K,5.0 of 5 bubbles,Dec 2018 • Friends,A very old and architectural marvel,You can visit this Mosque while going from Howrah to Barra Bazaar. This is really a great example for students of architecture as the Mosque is a real architectural beauty. It is very popular and people go from different parts of India.Amolak Rattan Kohli Former Governor of Mizoram
Nakhoda_Mosque,asis2015,5.0 of 5 bubbles,Oct 2018 • Family,Typical Architectural Mosque in Kolkata,The Architectural work of this Mosque is truly excellent and the present generation Architects can gather knowledge of earlier technology and can improve the horizon's of their knowledge.
Nakhoda_Mosque,Sounak Poddar,4.0 of 5 bubbles,Oct 2017,Architect,very old building but the architect still amazes. It has a lot of history and its own ups and deowns but besides all it is still standing strong.
