Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Science_City,Arun Mani Kanta Gunda,5.0 of 5 bubbles,Mar 2022 • Solo,Fantastic ,It's really a marvelous place to visit and get some knowledge really very organized monument with more information available 
Science_City,Beulah K,5.0 of 5 bubbles,Dec 2022 • Couples,Great experience,"Overall experience was very good. We should sequence the shows. Display timmings, difficult to know the timmings of each show."
Science_City,Rajjak hossain,4.0 of 5 bubbles,Nov 2021 • Solo,science City Kolkata,"Science City Kolkata is the largest science centre in Asia.It is managed by National Council of Science Museums (NCSM), Ministry of Culture, Government of India. It is located at the crossing of Eastern Metropolitan Bypass and J. B. S. Haldane Avenue (Parama Island) in East Topsia. Saroj Ghose, the first director general of NCSM, is credited with having conceptualised this centre in 1997.[5] This centre was inaugurated by two parts: the ‘Convention Centre Complex’ was unveiled on 21 December 1996 by Paul Jozef Crutzen in presence of the then chief minister Jyoti Basu and the whole centre was opened by the then prime minister Inder Kumar Gujral on 1 July 1997."
Science_City,Nuruddin,4.0 of 5 bubbles,Nov 2021 • Solo,Science City Kolkata,"The Science City, one of its kind in India, inaugurated on 1st July,1997 has been developed as a major attraction for the residents’ of Kolkata as well as for the national and international visitors to the metropolis. Developed by the National Council of Science Museums, it is one of the largest and finest in the world, presenting science and technology in a stimulating and engaging environment that is truly educational and enjoyable for the people of all ages. It has, over the years, become a place for memorable experience and enjoyment for both the young and the old."
Science_City,Anil Das,4.0 of 5 bubbles,Feb 2022,Science City - discover amazing facts of Science,A great time to spend with friends and family. Science City is the best place to discover amazing facts of Science. It is a place to know some Mistry of Science. I must recommend this place to those who are curious. And one more thing this is a fabulous place to bring your kids and spend a quality time with your family and friends and for having fun with them. No need to buy all tickets at the entrance as there are counters for all exhibitions inside too. There's a musical fountain and a lot of food and drink options. Car parking is available for 60 rupees.
Science_City,akghosal,3.0 of 5 bubbles,Apr 2022,Good selection of artefacts & attractions but too much emphasis on Hindi in the audio-based information,"Has a relatively good selection of Science-related artefacts and information and there are some good views across Kolkata from the ropeway. My only problems with Science City (which is why I haven't given it four or five stars) is that some parts could be better maintained and cleaned (especially the eating areas), and that in some attractions, there is too much emphasis in giving the audio-based information in Hindi (without any subtitles or audio in either English or Bengali) which means that it is not particularly ideal or inclusive for foreign tourists (I am one of them, as while I can understand bits of Hindi, I can't speak the language) who are visiting the area or even some locals who want to hear the information in Bengali. Apart from these issues, it was a relatively good experience overall."
Science_City,Tausif,4.0 of 5 bubbles,Dec 2021,Good place to visit,"Good place to visit for kids, but too much waiting for most shows. More than half the time we were standing in queues. They must allow online booking of tickets for individual events."
Science_City,Swarnamanojpanda,5.0 of 5 bubbles,Dec 2021,Really the place to explore in Kolkata,"Nice place to visit and explore in kolkata and specially for children to visit that palce. Rope way ,dynosore and meuseum activities, time machine was excellent."
Science_City,Anjan Sengupta,5.0 of 5 bubbles,Mar 2021,A must visit for children..,"I had my first visit at this place in February 1999 when I was a student of Class 11. My second visit was in March 2021 when I took my 6-year-old daughter to this place. Its an awesome place for the kids and the grown-ups to enjoy with interesting displays of apparatuses running on basic principles of science. Also, there are 3-4 shows that should not be missed. Please plan a full day for this visit"
Science_City,Aditya Singh B,5.0 of 5 bubbles,Oct 2021 • Family,Memorable place to visit ,"A wonderful place to visit. Must go with family. Very informative and enjoyable attractions around. Human evolution, science laws, aquarium, aero space science and various rides are treat to watch. "
