Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Shaheed_Minar,Dr. Parikshet Sirohi,4.0 of 5 bubbles,Dec 2022,Pity they don't let you climb on top anymore,"This place used to offer the best views of the city. But not anymore, They do not allow you to climb the tower nowadays, because many people have used the height to fall to their deaths."
Shaheed_Minar,Arun K,3.0 of 5 bubbles,Oct 2019,A CLOUD KISSING MONUMENT,"Gracing the vast green fields of the Maidan with its pristine white,160-foot-high  presence, the Shaheed Minar is among Kolkata’s most visited sites. The cloud-kissing monument was built in early eighteenth century by British East India Company. It was renamed as SHAHEED MINAR in the memory of martyrs of the Indian freedom movement after the country achieved independence."
Shaheed_Minar,Sanjay P,4.0 of 5 bubbles,Jan 2020,Lit up at night!,"Located at the Esplanade Bus Terminus (also next to the Esplanade Metro Station), this historic monument is very beautifully lit up at night. "
Shaheed_Minar,ankan146,4.0 of 5 bubbles,Jan 2020,centre of busiest area -darmtalla,"open from 10am to 5pm .entry free. visitors allowed go go up.  the oberoi grand and espalande metro is nearby, busiest area of kolkata.   evening time MINAR is decorated with colorful light."
Shaheed_Minar,Faizan Ahmed,4.0 of 5 bubbles,Dec 2019,Martyrs' Monument,"it was rededicated to the memory of the martyrs of the Indian freedom movement, the tower illuminate during evenings and allow visitors to the top"
Shaheed_Minar,RameshKN,5.0 of 5 bubbles,Dec 2019,Sad such an Iconic place is left isolated,"I felt really sad to see the place is littered and filled with hawkers, a remembrance of the martyrs of the war, hardly anyone pays respect there"
Shaheed_Minar,Shreya Sharma,5.0 of 5 bubbles,Dec 2019,Beautiful watchtower,The Shaheed minar was built in the honour of the late freedom fighters which is now a landmark in the city.
Shaheed_Minar,Anu,4.0 of 5 bubbles,Nov 2018,Enjoyable,"At Esplanade, we saw the pre-historic trams on the roads, and out of the smoggy night, we saw a brightly lit Shaheed Minar.Shaheed Minar, whose meaning in English stands for, ‘tower for the martyrs’  towers above the Maidan area. The Monument was erected to commemorate Major-general David Ochterlony, commander of the British East India Company’s main force in the Gurkha War of 1816.Rallies.We walked in the park near Shaheed Minar- Beautifully lit park with fountains."
Shaheed_Minar,Travel with Hemant,3.0 of 5 bubbles,Dec 2018,walk around Shaheed Minar,"Its a  monument  now rededicated to the memory of Indian freedom Movement. its height is around 48 mt and combination of Egyptian style Foundation, Syrian style upper portion and Turkish Dome.. there are two balconies at the top which are accessed  by  223 steps through a serpentine staircase.you can have a Bird eye view of the kolkata city . But to go inside you need a permission from Police HQ."
Shaheed_Minar,SRIKAKOLAPU,5.0 of 5 bubbles,Apr 2019 • Friends,nice,"Near to the bus stand,Though not well maintained its a memoir and  its 48 meters and once needs to climb 200 steps to reach the top"
Shaheed_Minar,Dr Ujjawal P,3.0 of 5 bubbles,Jun 2019 • Friends,Minar with no added attraction ,This is near Esplanade This long statue visualise from kms Not very much attraction added with this Long statue structure of kolkata No need to stop but on the way you can enjoy the structure 
Shaheed_Minar,rajveer0072016,4.0 of 5 bubbles,Apr 2019 • Solo,Shaheed Minar,It is a old famous minar of Kolkata near Esplanade bus terminal.Many people gather here for gossip and for spending time. 
Shaheed_Minar,Ravindra V,4.0 of 5 bubbles,Mar 2019 • Family,Shaheed Minar,Looks stunning with multiple colors when lit up. You can also get far view from Esplanade New Market area.
Shaheed_Minar,Padmini15,4.0 of 5 bubbles,Dec 2018 • Friends,The Qutub Minar of Kolkata!!,"The Shaheed Minar is basically the Martyrs' Monument and is almost 170 years old. It was earlier known as the Ochterlony Monument and is located in Esplanade area. A Bus depot has grown around it and people hardly give it any importance. The adjacent Brigade Parade ground, also known as the Maidan is a landmark destination for political gatherings and meetings."
Shaheed_Minar,gastronaut_11,4.0 of 5 bubbles,Dec 2018 • Couples,Impressive,Looks a lot like monuments you might have seen in Europe. Well maintained and clean. Interesting and impressive.
Shaheed_Minar,Kalyan Panja,3.0 of 5 bubbles,Jan 2018,a popular memorial in the city,"This is a popular memorial in the city in the maidan area without much history behind the place. It would have been more enjoyable if one could have climbed to the top to have a nice aerial view of the city, being in the central commercial area of the city."
Shaheed_Minar,Amolak Rattan K,5.0 of 5 bubbles,Dec 2018 • Friends,History Distorted,Originally built in memory of British forces who died in action against Indian in the year 1828. It was renamed as Shaheed Minar by Government of West Bengal on 9th August 1969 . This was done to honour many young Beangali Patriots who laid their lives in fighting oppression of British . After renaming it has become a great tourist Attraction .Amolak Rattan KohliFormer Governor of Mizoram
Shaheed_Minar,Pradipranjan D,4.0 of 5 bubbles,Aug 2018 • Family,The minnar which kept head high at Kolkata Maidan,"Saheed Minar,as known by all Calcuttan and tourists may remember also it's old name.It was erected by Major General Sir Devid Ochterlony,Commander of the British East India Company,to commemorate both his successful defence of Delhi against Marathas in 1804 and the victory of East India Company's armed forces over the Gurkhas in Anglo-Nepalese war. Earlier visitors could go upto the top of the monument but now a days it is stopped due to safety of tourists.It's construction started in 1825 and got completed in the year 1828. On 9th August 1969 this monument was re dedicated to the memory of Martyrs of Indian freedom movement and renamed as Shaheed Minar.The height of this minnar is 157 feet."
Shaheed_Minar,Saheli Pal,4.0 of 5 bubbles,Oct 2018 • Couples,tourist interest of kolkata,It's a tall monument in middle of the city and one of the spot for attraction for tourist.But you can't go to the top without prior permission.
Shaheed_Minar,Indira2011,4.0 of 5 bubbles,Dec 2017 • Solo,Iconic symbol of Kolkata,"Shaheed means martyrs in Bengali. The struggle for independence saw several Bengali girls and boys sacrifice their lives. In memory of them, this is made."
Shaheed_Minar,Nilanjan B,4.0 of 5 bubbles,Oct 2018 • Friends,In memory of the martyrs,A British Architecture just bang on the city center of Kolkata. A small garden with blue sky in the background is the photographers click. You need to see from outside.
Shaheed_Minar,bluevoter,4.0 of 5 bubbles,Oct 2018 • Solo,Standing out there on the Esplanade,"This monument stands out by itself with no one around. It took me a while to discover that this monument was originally dedicated to a member of the British East India crew, and then renamed to honor those who died in India's fight for independence. Shaheed Minar = Martyrs' Monument"
Shaheed_Minar,VINAY S,5.0 of 5 bubbles,Jul 2018 • Family,symbol of Kolkata,Its located in the heart of city which symbolize the patriotism of the country.. just one can see while driving no need to spend time there.. 
Shaheed_Minar,authorneelesh,3.0 of 5 bubbles,Aug 2018 • Couples,just a photo opportunity,Strolled to it as it was just outside our hotela picture or two outside it in 15 minutes is all the time it takes
Shaheed_Minar,rajveer0072016,3.0 of 5 bubbles,Aug 2018 • Solo,Shaheed Minar,Shaheed Minar is a well known and famous minar of Kolkata.Well maintained with seating arrangements.But the bus depo and local food stalls are looking odd. 
