Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Tagore_House,Dr. Parikshet Sirohi,5.0 of 5 bubbles,Dec 2022,Nice place if you are interested in art and literature,"Gurudev's House (Joysanto Thakurbari) was the nerve centre of the entire social and cultural scene of Bengal in the 18th, 19th and 20th centuries. The poet spent half of his 80-year long life in this house."
Tagore_House,Dilip B,5.0 of 5 bubbles,Dec 2022 • Family,Trip down history,They have done a great job of preserving the historical legacy and using the space in the building to showcase different facets of Tagore’s travels to other countries
Tagore_House,vacation-wallah,5.0 of 5 bubbles,Mar 2021,A must visit for any Tagore enthusiast,"a calm and tranquil place in the heart of the city. It is quite a moving experience to see where the great bard lived, the room where he died. His presence is palpable. Loved my visit."
Tagore_House,KennethEast,4.0 of 5 bubbles,Jan 2020,"More than your typical literary ""house"" museum","True, it's in Tagore's house.  But it's filled with interesting, thematic exhibits on Tagore's international connections and influences.  Only a 10-minute walk from Marble Palace--though it was through an intense and challenging neighborhood.  "
Tagore_House,Shreya Sharma,5.0 of 5 bubbles,Dec 2019,House of Nobel prize winner,The Tagore House is the house of the Nobel prize in Literature winner Rabindra Nath Tagore which is great to watch.
Tagore_House,adityainc,5.0 of 5 bubbles,Dec 2019,House of the poet,The Tagore House is the house of the great Nobel Laureate from India which is great and experience his heritage.
Tagore_House,Suzanne F,5.0 of 5 bubbles,Nov 2019,Set aside hours for this museum.,"Rabindranath Tagore was an amazing man, and you'll learn all about him here. He influenced Ghandi! He came from a wealthy merchant family. His grandfather dealt in the opium trade...but we are not responsible for our ancestors. His nephews were also influential artists, painters. Very informative and inspiring museum, which was his home."
Tagore_House,zauberberg,5.0 of 5 bubbles,Sep 2019,Absolute MUST,"Visiting the Tagore house was the high light of our stay in Kolkata. One could spend easily a whole day at this wonderful property, read about his work and life and ponder about his wonderful speeches, essays and comments, which are even today still so relevant..."
Tagore_House,Coastal820768,5.0 of 5 bubbles,Dec 2018 • Family,homes of Bengal,A must visit to delve into the era of Tagore. This is the house where Tagore breathed his last. The house is now a museum which shows some aspects of the life of the Tagores as well as the then joint family homes of Bengal. A beautiful place to be and explore. Location: Very much within the city and easily accessible.
Tagore_House,Brun066,4.0 of 5 bubbles,Aug 2019,Museum to visit!,"It's difficult for non-specialist people - even if they are of good culture - to have an adequate knowledge of the literary work of Rabindranath Tagore; but also, simply,  of his figure. In this case this museum is an adequate means to deepen the knowledge of the character and, through it, of some nodes of cultural discussion in India in the last century.From the museum - which coincides in part with the house where Tagore was born, then finally died - it's clear first of all that Tagore is a representative of the classes not only more educated, but also wealthier, of India. If I have understood correctly, his family was part of the category of ""zamindari"", that is the major landowners, traditionally also charged with collecting taxes - on behalf of the central power - among the local population. Tagore is therefore undoubtedly favored by his economic means in acquiring the cultural depth that will eventually lead him - in 1913 - to be the first non-European obtaining the Nobel prize for literature.Through the museum reconstruction, the different phases of his formation and af his cultural interests emerge, often summarized in the formula ""universalism"". Used to seeking what unites Indian culture - in which it was born - with other cultures, Tagore constantly repudiates nationalisms (cultural and other), on the other he deepens the links between his culture of origin and the others. In the rooms of the museum stands out in particular - but not only - its long-term attention, for example, to Japanese culture.Particular space is also given to his travels, which brought him especially in the last decades of his life to visit dozens of nations.The esteem of writers, politicians, scientists (there is a picture of him with Einstein) is attested by the amount of contacts documented in the museum. I don't know which other literate can present - as in the museum you can see - pictures with three different US presidents.Overall, visit this museum: you will enrich your culture and your sensitivity."
