Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ada_Chikan,sarabjit k,5.0 of 5 bubbles,Jan 2023 • Solo,excellent,material and work quality is best.. liked the products too much. overall shopping experience  is best.. good quality products
Ada_Chikan,Ilina Mahalanabish,5.0 of 5 bubbles,Jan 2023 • Family,Wondering shopping experience,It was such a beautiful experience shopping from Ada. Infact I always prefer Ada when purchasing chikankari apparel. Quality and affordability is their USP.
Ada_Chikan,Isha V,5.0 of 5 bubbles,Jan 2023 • Family,Amazing stuff,Superb stuff  worth buying. Collection is amazing  . Price range is also good....   I would recommend  a must visit when in lucknow
Ada_Chikan,nisha sharma,5.0 of 5 bubbles,Jan 2023,"i purchased two chikankari kurta from ADA. both kurtas look very nice, very comfortable, very fine work, best quality co",Their collections are very beautiful and authentic. quality of the suits is very comfortble which is why i prefer ada chikan. the work on their suits is very fine and beautiful.
Ada_Chikan,Shrishti,5.0 of 5 bubbles,Dec 2022 • Solo,Nice,"Bought multiple sarees, kurta and payjama, they have all range products. Something fir everyone. The quality of fabric and designs are unique and beautiful."
Ada_Chikan,Rajasthan Routes Trails,5.0 of 5 bubbles,Dec 2022 • Friends,Excellent!,"When in Lucknow, one must shop for authentic Chikankari. We found the best Chikankari at Ada. Not only the craftsmanship was neat and tidy but also the vast collection made it a delight to shop. Will highly recommend Ada for not just your daily wear but also for the exclusive party and wedding needs. I am sure to go back to pick up a few more lovely additions for my wardrobe. The team at Ada is very helpful in suggesting what you might like in your budget."
Ada_Chikan,Krutuja Niphadkar,5.0 of 5 bubbles,Dec 2022 • Family,Outstanding and authentic lucknowi chikankaris!,They have very beautiful collection of Chikankari dress material. I have purchased dress materials both offline and online. Quality of the fabric is very good and worth every penny
Ada_Chikan,Farhain Khan,5.0 of 5 bubbles,Feb 2022 • Family,Favourite shopping spot in Lucknow : ADA,The suits were of exceptional quality . You get the value for the money . The service was quick and efficient . Favourite shopping spot in Lucknow .
Ada_Chikan,Imtisenla M,5.0 of 5 bubbles,Jan 2023 • Solo,Awesome experience.,Awesome product. Love it. The kurta looks so rich and beautiful. Will purchase again. Thank you Ada for making Chikankari kurta affordable.
Ada_Chikan,Road728075,5.0 of 5 bubbles,Nov 2022 • Friends,Experience and wondering,If you are looking for  real hand made chikankari kurti thn you must visit Ada. Excellent customer service
Ada_Chikan,Insha A,5.0 of 5 bubbles,Dec 2022 • Family,Too good,There product is too good ... very classy and elegant ..It's an ultimate place for ppl who love chikan work ..
Ada_Chikan,Madhu,5.0 of 5 bubbles,Dec 2022 • Family,Great experience 👍,👌😊The kurtas are 👍 👌 The designs are exactly the same as shown. I also want to purchase a dark pink self colored chikankari work kurta.
Ada_Chikan,Madhukar Varma,2.0 of 5 bubbles,Aug 2022,Ethenic wear inLucknow,the clothes are astronomically priced . the genunity of work is also not guaranteed .There are much better options in chowk . There is no car parking  and you have to park your vehicle in a municipality  parking away from the shop .
Ada_Chikan,Shruti S,5.0 of 5 bubbles,Jan 2023 • Couples,Superb,"Great collections of chickankari readymade suit, suit pieces, dupattas, handbags, sarees, trousers, pants and other products kurti, kurtas, home collection. Well behaved staff, nice spacious multilevel shop ."
Ada_Chikan,Akhileshwar Singh,5.0 of 5 bubbles,Sep 2022 • Solo,Fanstaic,I don't prefer online shopping because of obvious reasons.But with Ada WhatsApp customer support team my shopping experience was really good.I was searching a chikankari saree for myself from last many years.When I saw their collection I was completely mesmerized.Starting from fabric to embroidery to delivery........everything is just superb.I will definitely shop with you guys again n again😊
Ada_Chikan,Suman Thakur,5.0 of 5 bubbles,Dec 2022 • Solo,Best chikan merchandise,The collection is amazing but a bit highly priced. Don't expect any discount. But you will get unique stuff here.
Ada_Chikan,Sujata Vishwakarma,5.0 of 5 bubbles,Dec 2022 • Friends,Good,"I had excellent experience at Ada chikan Hazaratganj Lucknow. I would recommend shopping at this place, here you can get great collection of authentic chikan itema"
Ada_Chikan,Millennium,5.0 of 5 bubbles,Dec 2022 • Solo,Chikankari kurti review,Very good products... loved it.Fitting and colour of the product is so good.Just go for it without any hesitation
Ada_Chikan,Mohit Srivastava,5.0 of 5 bubbles,Dec 2022 • Couples,Amazing,"If anyone looking for latest and best collection of chikan work ladies and Gents garments, Ada Chikan is the best option according to my experience."
Ada_Chikan,Prachis,5.0 of 5 bubbles,Dec 2022 • Solo,Great experience,"Great collections, good quality, amazing fit, responsive customer service, overall seamless experience."
Ada_Chikan,Pallavi,5.0 of 5 bubbles,Dec 2022 • Solo,Awesome,Very nice product and awesome quality Absolutely loved it The colour and design is also very nice!!!
Ada_Chikan,Harshit Gupta,5.0 of 5 bubbles,Dec 2022 • Couples,"Great collection, bought suit and kurta, soft fabric and excellent quality","Great collection, bought suit and kurta, soft fabric, excellent quality and perfect stiching. Complete one stop family shopping destination"
Ada_Chikan,Bhattacharya_alok,5.0 of 5 bubbles,Dec 2022 • Couples,Excellent experience.,"The sales team of ADA are extremely polite and cooperative. There are wide varieties of chikankari products like sarees, dresses, ladies bags/clutches, table roasters, men's kurtas to choose from at ADA stores, Lucknow."
Ada_Chikan,Devansh,4.0 of 5 bubbles,Dec 2022 • Couples,Excellent!!,Best shop in Lucknow for Chikan work. Fixed price shop. No discounts. Good quality. Amazing designs. Lot of variety.!!
Ada_Chikan,Adwitia Pal,5.0 of 5 bubbles,Dec 2022 • Family,Best choice for Chikankaris,"The products are best quality and very genuine. The materials are original and high in quality, the handwork Chikankaris are so authentic and unique. These are equally modern yet traditional. I loved my purchases. The service and pricing is also very good."
Ada_Chikan,Radhika,5.0 of 5 bubbles,Nov 2022 • Solo,Great experience,ADA has a authenticate collection of chikankari products. You can never go wrong buying from here. Very happy with my purchase and very happy that I found this shop. Keep it up ADA.
Ada_Chikan,Mariyam Alam,5.0 of 5 bubbles,Dec 2022 • Solo,Ada Chikankari,Great products. Great place. Love the quality of the products. Cooperative staff and good service…..
Ada_Chikan,Nandini P,5.0 of 5 bubbles,Dec 2022 • Solo,"Exquisite products, smooth online shopping experience","I had a flawless online shopping experience at Ada. Their website is well organized, so it is really easy to browse their beautiful collection. The products when they arrive, are exquisite, and are exactly as shown online. Their chat feature is great, you get instant responses from very helpful customer reps. Last, but not least, the shipping is very fast. Overall, this is a business that both embraces the digital age and pays homage to beautiful artistic tradition!"
Ada_Chikan,Tanisha Bhowmik,5.0 of 5 bubbles,Sep 2022,Exquisite design,"In my 1st visit to Lucknow, without knowing anything about ADA when I stepped into the store I was mesmerized by their design and the quality of the fabric. the chicken Kari work is awesome ! I will definitely visit Lucknow again"
Ada_Chikan,SM,5.0 of 5 bubbles,Dec 2022 • Solo,Ada Chikan,I have been using products from Adaonline shop since long and for quality products I keep coming back to this website.
Ada_Chikan,Tara Rajendran,5.0 of 5 bubbles,Dec 2022,Best Mulmul cotton Kurtis,Absolutely loved the mulmul cotton printed Chikankari Kurtis! Perfect for Indian summer. So soft and incredibly comfortable!
Ada_Chikan,Vimala,5.0 of 5 bubbles,Dec 2022 • Couples,Good quality material,"I made an online purchase through whatsapp. They had the patience to send the pics according to my requirement and they never requested me to get on an video calls. I really appreciate the customer support that they provide. I was actually looking for a couple dress with similar color match but the one I selected doesnot match. They could have told me because they are the one who sees it and when i saw through photos it appeared similar whereas it didnot but thats not a big deal. Also just a suggestion if u guys could decrease your pricing model, it would be great as it is expensive."
Ada_Chikan,Anbini K,5.0 of 5 bubbles,Dec 2022 • Solo,best place to buy good quality products,the designs are excellent 👌 best place to buy for chikankari work😊❤️ lot of collections 👍best place to buy good quality products
Ada_Chikan,Manisha G,5.0 of 5 bubbles,Nov 2022 • Solo,Ada Chikan,Good quality and attention to customer requirements. For in-store purchase and also for online purchase
Ada_Chikan,Susmita L,5.0 of 5 bubbles,Dec 2022 • Solo,Amazing product,Love your products and services. They are just what a girl needs. It is one of your wardrobe essential
Ada_Chikan,Sonia Soni,5.0 of 5 bubbles,Dec 2022 • Family,Absolutely fantastic,"I would say ADA is a go to place for all sorts of chikan wear ,the wide variety is exhibited not in just the range but also in pricing and material.In would also like to say a big thank you to Nimisha for her support for online shopping.She is so patient and understands the customer’s choice so well.Do visit ADA!!!"
Ada_Chikan,Taruna,3.0 of 5 bubbles,Dec 2022 • Solo,Good quality,Very Good quality and i like it's handmade chicken work but it is loose for me otherwise superb kurta
Ada_Chikan,Geetha,5.0 of 5 bubbles,Nov 2022 • Solo,Nice kurti made little changes with sleeve and button. Good material,Bought kurti online. Material is very comfortable. Design also good. Will visit the showroom if I go to lucknow
Ada_Chikan,Divya,5.0 of 5 bubbles,Nov 2022 • Family,Awesome staff,Nothing like Ada. Loved it. Real authentic collection and beautiful colours. True Lucknow flavour. Will visit again
Ada_Chikan,Ajay Mehta,5.0 of 5 bubbles,Oct 2022 • Couples,Distinctive and Artistic art,Lot of variety.Sales persons were very nice and helpful in showing the variety and designs as per our liking.Very elegant and distinctive work and done very finely.
Ada_Chikan,Sai Ram P,5.0 of 5 bubbles,Oct 2022 • Couples,Best chikan shop,"Best variety of chikan clothes with best quality at Lucknow, you will get best when you visit the show room"
Ada_Chikan,Rajshri S,5.0 of 5 bubbles,Oct 2022 • Family,Shopping @ada,It is a delight to shop at Ada website as their work design pieces are exclusive. The staff over phone and chat are also very helpful to clarify any doubt
