Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Colvin_Taluqdars_College,shubham Srivastava,1.0 of 5 bubbles,Aug 2019 • Solo,Telling about life guard behaviour,"I request u all about life guard name mohit and anil, many times both do jokes lot and also tlk about sexuality. Anil is very short tempor guy जरा सा कुछ हो जाए मारने लग जाता है। its better to tell him behave properly with all client. See Im coming since 2011 know these 2 guys since may 2013 indnt want any problem। बरदाश करने की भी एक हद होती हैIf any one behave rudely then i will have to give bad rating which effct your rating also"
Colvin_Taluqdars_College,Mrinal Gautam,4.0 of 5 bubbles,Dec 2019,Heritage school,"This is one of the oldest and at one time best school of U.P., Situated on university road at one time it was ""The School"" of Lucknow. The area of the school is as big as university.  "
Colvin_Taluqdars_College,kushBans,4.0 of 5 bubbles,Jan 2019 • Friends,Old place !!,Decent view from outside. Can give it a visit if you are passing from it's near by. Not much to see.
Colvin_Taluqdars_College,Montu,5.0 of 5 bubbles,Jan 2019 • Family,Un-fadeable  Glory,"A School's glory can only be judged by its products -- global standing of  Colvin's alumni tells its own story!   Though the buildings and ambiance which creates the excellence are astounding too!  For me it was the teachers- but that come and goes!  For visitors it is a very interesting site also, to absorb history of a princely era, now only scene in films an TV period dramas!"
Colvin_Taluqdars_College,himanshulko,5.0 of 5 bubbles,Jun 2018 • Friends,Personality Development,"I have done schooling from Colvin Taluqdars College. All teachers were technical good & efficient, especially our Principal Mr. Tandon. Library was also Good. On the hole THE best college of Lucknow."
Colvin_Taluqdars_College,infojonny,4.0 of 5 bubbles,Dec 2017 • Friends,Old College,This College  is very old in Lucknow they have ground swimming pools over here this college is very famous
Colvin_Taluqdars_College,Aarav K,3.0 of 5 bubbles,Nov 2017 • Solo,Colvin,I have gone here. This is taluq dar college. It is old enough. One would like to tell that there is nothing special for travelers.
Colvin_Taluqdars_College,AAA,4.0 of 5 bubbles,Oct 2017 • Friends,Taluqdars College,Colvin taluqdars college is very old college of lucknow. There's nothing special to visit in it. Can be visited once to see.
Colvin_Taluqdars_College,_adhikarigautam10,3.0 of 5 bubbles,Jul 2017 • Friends,colvin talukedars..,colvin talukedar...its not looks like a visint point in lucknow ..for lucknowers ..but i heard and read that its a good college in its time..but now its repo is not so good..the best thing i know in talukedar is its pool whick provide swimming facility...
Colvin_Taluqdars_College,Dryogendranath M,4.0 of 5 bubbles,Nov 2016,VISIT TO COLVIN TALUQDARS' COLLEGE,This is the old college of educational excellence. Taluqdars means elite class and originally the college was said to be meant for the students coming from elite class. The College has got good and attractive building and in the heat of the city and near Lucknow University. The College was the centre for attraction when the Prime Minister visited the College in the recent past.
