Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Husainabad_Clock_Tower,Akshay Sharma,3.0 of 5 bubbles,Nov 2022,A working clock tower in the city,This tower was made by the British and is located next to historical places like Imambara and the pond. The clock is still operational and provides a key milestone for the city landscape.
Husainabad_Clock_Tower,Rohit B,5.0 of 5 bubbles,Oct 2022,Tall and majestic!,"This clock tower stands besides the Chota Imambara. It is an excellent architectural work by the Nawabs, and a symbol of Lucknow's history. A great picture spot while touring the Chowk area. The the horse carriage ride around this area to get a true feel of the Nawabi era."
Husainabad_Clock_Tower,Siddharth S,4.0 of 5 bubbles,Feb 2022,Old world charm,Great place to visualize old world charm of Lucknow. Center of old town & has a lot of history all around it. Can be enjoyed in the evening as well
Husainabad_Clock_Tower,Avirup Guha Roy,4.0 of 5 bubbles,Dec 2021,Tallest Clock Tower in India,"Soaring to about 219 ft, this has been identified as the tallest Clock Tower in India.... it was built in 1881 to welcome Sir George Couper, the first lieutenant governor of United Province of Avadh... Designed by Richard Roskell Bayne, the architecture blends Victorian and Gothic structural patterns, indicative of London's Big Ben.... the clock dial is in the shape of 12 petals of a full gold flower with bells around and a pendulum which is about 14 ft long"
Husainabad_Clock_Tower,gpradeepshenoy,3.0 of 5 bubbles,Aug 2021 • Solo,In between Bara Imambara and chota Imambara,Ghanta ghar as it is called locally is about 15 minutes walk from bara Imambara .        This clock tower can be visited when one travels from bara Imambara to chota Imambara.          Ghanta ghar is just near the picture gallery. This clock tower is India's tallest. Surrounding area can be maintained more neatly.           Can be visited when one travels from Bara Imambara to chota Imambara.
Husainabad_Clock_Tower,Nilakshi S,5.0 of 5 bubbles,Jul 2021,A view to remember.,The clock tower stands tall in the middle of the city. Old Lucknow. Near the water tank. History jumps out through the time telling clock tower.
Husainabad_Clock_Tower,Niket Kumar Dixit,3.0 of 5 bubbles,Feb 2021,"Ok to visit, if you have time","Ok to visit, if you have time. Very near to Rumi Darwaza and Bada Imambara. Not much to visit at this spot."
Husainabad_Clock_Tower,JoyBose,4.0 of 5 bubbles,Nov 2020,"A nice clock tower in old Lucknow, but not allowed to climb","Its a nice clock tower built by the nawab, next to a beautiful man made lake. It is in chowk area of Lucknow, walking distance from bada and chota imambara. Nowadays it is not allowed to climb the tower due to safety concerns. There are nice gardens and park around this place.Its specially beautiful during the sunset time."
Husainabad_Clock_Tower,Ajeet,4.0 of 5 bubbles,Jun 2020 • Solo,Landmark.. and beautiful ,"A landmark of lucknow, located close to Rumi Gate.. nice place to visit. However this place ans surroundings need maintenance."
Husainabad_Clock_Tower,Syedabid2014,4.0 of 5 bubbles,Feb 2020,A britsh era relic,"Loosely inspired by Big Ben, Husainabad Clock Tower is surely a place to visit, as it is quite near to the Chhota Imambara. Dont miss the moon viewing watch tower near by."
Husainabad_Clock_Tower,pilgrim_gsa,4.0 of 5 bubbles,Feb 2020,Beautiful,Very nice and four sided clock tower from the British times .Not far from Rumi Darwaza .No ticket to take .
Husainabad_Clock_Tower,Tanvi,3.0 of 5 bubbles,Dec 2019 • Family,Nothing much here to watch,The architecture is good . But there is nothing more to watch . My kids got bored here . It was an okay okay visit .
Husainabad_Clock_Tower,ShikshaC,3.0 of 5 bubbles,Jan 2020 • Couples,Beautiful tower but nothing else…,You can see the clock tower when you go to visit the Imambra. The tower is a good example of beautiful architecture but you can just see it from outside as it’s not accessible inside. Not much to do at this attraction. 
Husainabad_Clock_Tower,chikpick,3.0 of 5 bubbles,Apr 2019,Nothing great...,Near to rumi darwaza. Its just a big clock built like in most of the towns as ghantaghar. The area around is not well maintained. On a holiday u will find big guys playing cricket and u will be afraid of getting hurt.
Husainabad_Clock_Tower,TJRDunne,4.0 of 5 bubbles,Dec 2019,Impressive Clocktower,"The area is cool and the clock tower is impressive. Not a lot to do to spend a great time there, we passed through it."
Husainabad_Clock_Tower,Let's Go Sightseeing,5.0 of 5 bubbles,Dec 2018,A 19th century marvel,"The Husainabad Clock Tower was constructed in 1881 to mark Sir George Couper's arrival, the first LG of United Province of Avadh. You can spot the Clock Tower from kms, but as you come closer, you can also see a large step-well next to it."
Husainabad_Clock_Tower,taotzu,4.0 of 5 bubbles,Sep 2019 • Friends,Lovely colonial area,This clock tower is reminiscent of the British Raj. A very outstanding campanile type tower overlooking a lovely step well type pond and a beautiful cobbled promenade. Reminds of Europe. Municipal corporation can still improve this location 
Husainabad_Clock_Tower,Rajjat Sabhrwal,4.0 of 5 bubbles,Oct 2018 • Friends,"Nice view, get your pic clicked like you are holding the clock tower top","In the city of nawabs you will also get to see clock tower.. this looks really stunning anytime you visit this.. it is said that it was constructed in 1881. The building is historic, one is allowed to go inside the clock tower one can easily watch from outside and get your picture clicked by posing like you are holding the top of clock tower.. "
Husainabad_Clock_Tower,durham05,3.0 of 5 bubbles,Jul 2019 • Solo,Unable to climb the tower.,Nice clock centrally located but door locked and no opportunity to climb the tower. Step well adjacent to it is equally impressive.
Husainabad_Clock_Tower,982pradipb,4.0 of 5 bubbles,Jun 2019 • Friends,A Hurried Trip,It is a well maintained tower erected in a wide area . It can be seen from a distance behind the Ruminator Darwaja .Next to it is the Saptakhand
Husainabad_Clock_Tower,Gastronomical_Chariot,5.0 of 5 bubbles,May 2019 • Couples,Amazing masterpiece of nostalgic Lucknow memories,One of the iconic locations of Lucknow usually crowded during the evening. Lot and lot of people visit this place. Would definitely recommend taking umbrella there on a sunny day. Go get some nice pictures !!
Husainabad_Clock_Tower,Pushpendra M,4.0 of 5 bubbles,May 2019 • Family,NICE,"Nice place for tourists. It is very old tower. It looks like LONDON CLOCK. Very good are sit, walk and enjoy."
