Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Lucknow_University,John Muriango,4.0 of 5 bubbles,Dec 2020,Good,"This is where I'm studying, so I'm definitely a bit biased. To remove the bias, what I can encourage you to do is to come and experience it yourself."
Lucknow_University,Rakesh K,4.0 of 5 bubbles,Feb 2020,clean university,A temple of studies and a rally well kept clean place giving you the feeling of purity and ambience to drive yo to study
Lucknow_University,Shivam,5.0 of 5 bubbles,Jan 2020 • Solo,My pubg mobile,Best University ever I like everything about it but pubg mobile is best them all I want to say that New update is best
Lucknow_University,Soumyajit Saha,5.0 of 5 bubbles,Oct 2019 • Solo,Luncknow University,Lucknow University is a very good and promising place to study and work. It has a good faculty team.
Lucknow_University,Mitesh,5.0 of 5 bubbles,Feb 2020 • Solo,University,University of Lucknow is one of the oldest government owned institutions of higher education in India.
Lucknow_University,P singh,4.0 of 5 bubbles,Jun 2019 • Friends,University review,Its one of the good universities in Uttar pradesh. Its a big campus and nearly 80 subjects are being taught here.
Lucknow_University,Victor,4.0 of 5 bubbles,Dec 2019 • Friends,Good university,Lucknow university is so good and valuable university.  In which provid all types of education and in which study more countries student.itz really good university...beautiful building and campus.
Lucknow_University,Amit Gupta,4.0 of 5 bubbles,Nov 2019 • Friends,Lucknow university,This is the oldest university in India. This is very famous and well established university in India. 
Lucknow_University,Shobha,5.0 of 5 bubbles,Nov 2019 • Friends,To know more about Lucknow City,"I lived in Lucknow, and I completed my bechlor degree from Lucknow University, it is situated near Gomti river bank,and it's architecture belongs to British and traditional style. In Lucknow University also have a private play ground and a hostel for students who came to study here, now everyone known that Lucknow is h metro city, so there is a nearest metro station opposite the Lucknow University named as Lucknow University metro station.so you can go to visit easily from Chaudhary Charan Singh airport Lucknow to Lucknow University. U must come here to experience British and nawabee tehzeeb together.. thankyou."
Lucknow_University,P singh,4.0 of 5 bubbles,Oct 2019 • Solo,University review,Its one of the good university of Uttar pradesh. Its a big campus and lot many departments are there.
Lucknow_University,mohd alyaz,4.0 of 5 bubbles,Mar 2019 • Friends,Visit,Lucknow University is actually great University in Up i love to visit there and meet great peoples...
Lucknow_University,Viky,4.0 of 5 bubbles,Feb 2019 • Friends,Great,I went to Lucknow city with my friends and when I saw lucknow university. It is marvelous study place for everyone.
Lucknow_University,shaikh_mallik,5.0 of 5 bubbles,Sep 2019 • Friends,trip with freinds,worlds best trip advisor app u pepole also use this to enjoy your trip safe and fearless with tripadvisor
Lucknow_University,Victor,4.0 of 5 bubbles,May 2019 • Friends,Best atmosphere,The university is well built across acres of land. The environment is very fresh and airy because of the number of trees here. The parking facility is also good here considering the fact that there is a seperate parking for each door. The faculty here is among the best. Cleanliness is certainly amiss.
Lucknow_University,Anonymous,2.0 of 5 bubbles,May 2018 • Solo,Exam visit,The campus has somethings but wasn't good enough as compared to college right now. Not good quality building or rooms.
Lucknow_University,P singh,4.0 of 5 bubbles,Oct 2018 • Family,University review,One of old universities in India. Architecture is marvellous. Campus is good and bigger than most of the campuses.
Lucknow_University,Niraj K,5.0 of 5 bubbles,Dec 2018 • Friends,Temple of Learning,One of the biggest State University of Uttar Pradesh just across the River Gomti. Situated in the heart of city. Now it also has its new campus quite farr from Old Campus.Jamun Avenue and Lal Baradari are the famous spots in the Old Campus building. Must see the beaty of illuminating lights in the night. Connected with Metro.
Lucknow_University,NIRAJ PATEL,4.0 of 5 bubbles,Mar 2019 • Family,Admission,Lucknow University is the most popular University of India It's switwated in middle city Education level of this University very high
Lucknow_University,TravelbuggIndia,4.0 of 5 bubbles,Aug 2018 • Solo,Lucknow University,Lucknow University is the hub of students from around the city where they come to learn. It's building is quite old.
