Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Nawab_Wajid_Ali_Shah_Zoological_Garden,DGs,5.0 of 5 bubbles,Nov 2021 • Family,Good zoo,Perfect place to spend 3-4 hrs with your family specially kids. Toy train give you glimpses of the zoo all around. Children park has good slides.
Nawab_Wajid_Ali_Shah_Zoological_Garden,Shubham Srivastava,5.0 of 5 bubbles,Nov 2020,Very Nice,A place to enjoy with your friends and family. The history museum is also very good. Highly recommended for anyone who visits lucknow.
Nawab_Wajid_Ali_Shah_Zoological_Garden,Jayendra Gohil,5.0 of 5 bubbles,Oct 2019,Nice,"Big Garden spacious and a small zoo based museum too, fav family outing. Plus another museum inside. Clean."
Nawab_Wajid_Ali_Shah_Zoological_Garden,Amit Shishodia,5.0 of 5 bubbles,Dec 2019 • Family,Place which I visited most,My fav place in Lucknow. I have visited Lucknow zoo at least 25-30 times in last 12 years. Good place to visit with family and friends. Little bit tough during the summer because of temperature. I suggest to visit this place from Oct to march.
Nawab_Wajid_Ali_Shah_Zoological_Garden,Ruby4861,3.0 of 5 bubbles,Feb 2020 • Family,Childhood memories!!!,We basically went to relive our memories... it was good to see that the zoo was maintained pretty well. It was clean with some new decor and greenery. The signs were good. There were animals which looked healthy...It was a good trip... sat on the train as well.  
Nawab_Wajid_Ali_Shah_Zoological_Garden,Soumyajit Saha,5.0 of 5 bubbles,Dec 2019 • Solo,Nawab Wajid Ali Shah Zoo,Nawab Wajid Ali Shah Zoo is a famous place to visit. It has many animals to watch and children will love it.
Nawab_Wajid_Ali_Shah_Zoological_Garden,Anuradha,5.0 of 5 bubbles,Feb 2020 • Couples,Very well maintained zoo with a museum inside ,"We mainly wanted to go to the museum but at the ticket counter got to know that it’s mandatory to take the ticket for zoo. Initially we didn’t like the idea, but didn’t regret it after going inside. A huge Parijaat tree welcomed us, it was very beautiful. Kids love to see a great variety of animals this zoo offers. The museum was good with display of many historical artefacts specially related to Awadhi culture. Egyptian gallery was good with a mummy on display. "
Nawab_Wajid_Ali_Shah_Zoological_Garden,niya27,5.0 of 5 bubbles,Jan 2020 • Family,Zoo,This place is also called Lucknow Zoo. This zoo is one of the best zoo in India. State museum is also inside this zoo. 
Nawab_Wajid_Ali_Shah_Zoological_Garden,Tanvi,5.0 of 5 bubbles,Dec 2019 • Family,My kids loved it,I visited here with my family and my kids loved it . There's a entry fee also which is very less . We we're lucky enough to spot Cheetah . It is one of the best zoo I have visited ...
Nawab_Wajid_Ali_Shah_Zoological_Garden,Yogesh P,4.0 of 5 bubbles,Dec 2019,Good place for visit with family,Nice place for visit with family. There was small entry fees. Well cleaned and nice zoo. There was many wild animals there. Nice place to enjoy with kids.
Nawab_Wajid_Ali_Shah_Zoological_Garden,ShikshaC,4.0 of 5 bubbles,Dec 2019 • Couples,Lucknow Zoo vidit…,"The place is quite popular and has huge number of tourists coming in. It houses several varieties of birds, fishes and animals including white tigers, hippopotamus, macaws, etc. to name a few. It has a small eating area inside for snacks and is good activity for family outing. It has a toy train or battery operated cars available for trips but you can also walk. The butterfly park which has extra ticket applied is not worth the money as there are no butterflies in it. "
Nawab_Wajid_Ali_Shah_Zoological_Garden,FeatureSM,5.0 of 5 bubbles,Sep 2019 • Solo,Knowledgeable place,Hi guys this is amazing place to visit with your friends and family mostly for kids because they will learn amazing facts and more knowledge about nature.
Nawab_Wajid_Ali_Shah_Zoological_Garden,Sparkling soul,4.0 of 5 bubbles,Oct 2019 • Family,Visit,"One of the best place to have a picnic with your loved ones be it your family or friends. Great place to visit with family specially with kid. So much to learn for them about animals and history. Museum was great to see and learn about Indian culture and history. There are Jain and Buddha era exhibition, Indian coin and weapons exhibition and so many other things. There are lots of wold animals to see."
Nawab_Wajid_Ali_Shah_Zoological_Garden,Parth101,5.0 of 5 bubbles,Sep 2019,Known as Lucknow Zoo,This zoo also known as Lucknow Zoo . It is located in heart of the Lacknow city area. Main attraction of the city. Good place for time spend with kids.
Nawab_Wajid_Ali_Shah_Zoological_Garden,Harsh V,5.0 of 5 bubbles,Sep 2019 • Friends,Fun time,Best place to hangout with your family and friends best picnic place in there is 3d show and many things like boating full fun place must visit
Nawab_Wajid_Ali_Shah_Zoological_Garden,Indieopus,5.0 of 5 bubbles,Aug 2019 • Couples,Too Old Too Boring ,"Not worth visiting this place as a tourist in Lucknow, though there are few good animals but the overall experience isn't that great as the place is unhygienic as well as not Maintened well! "
Nawab_Wajid_Ali_Shah_Zoological_Garden,durham05,5.0 of 5 bubbles,Jul 2019 • Solo,One of the better zoos,"This site is quite large but there is lots to see with each animal cage close to the next.  There is also a nice train that runs around the park. State museum also with zoo. Liked the giraffes, hippos, tigers and lions. Lots of places to buy food  80 rupees to get in."
