Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Opulence_Perfumery,Johnny J,5.0 of 5 bubbles,Jan 2023,A Must Visit Fragrance Store In Lucknow,"There isn’t any fragrance that Opulence Perfumery cannot get you. They are a class apart. The store is a beauty for fragrance lovers. With a wide variety of choices, you won’t feel like leaving. Also, Mr. Gaurav is a such a gentleman who is always ready to assist and guide you perfectly. He is a well respected and a known person in the fragrance community in India. Don’t leave Lucknow without a quick trip to this store and have an unforgettable experience in the world of beautiful scents."
Opulence_Perfumery,Dev Rawat,5.0 of 5 bubbles,Nov 2022 • Solo,"Hosting, Guiding, Quality that matters and its 10/10",100 words are less to appreciate spalshfragrance.I have visited lucknow from dehi only to experience their extreme range and its world class the best part is their way of hosting Gaurav bhai personally gave his time that went beyond but he was equally intersting in telling about everything from guiding to educate he showed some private collection as well. You may ask thousand query and he is the man with 1001 answers/guide. He and his assistant was extremely co operative unlike other top brands who just sell or judge. I am extreme fragrance explorer and that's the place where you can have proper time to experience everything with great gesture (very important). Guerlain and trudi bleu London will be my future houses to buy elite classy fragrances though i love heavy unsual stuff like chopard incense malaki. Must visit if you love fragrances. Gaurav bhai is a genuine gentlemen in fragrance business that I met in last 4 years.
Opulence_Perfumery,Indroneel,5.0 of 5 bubbles,Nov 2022 • Family,Beautiful Shopping Experience,"I had to get the new Armai ADG EDP (2022), and this store was the only place in which I could get it. Mr. Gaurav was very courteous and he has both, an amazing range of fragrances and an amazing knowledge about fragrances. Absolutely brilliant shopping experience! He and his employees are always very well behaved and patient with the customers. I would give the experience a 10/10"
Opulence_Perfumery,Rajasekar Selvaraj,5.0 of 5 bubbles,Oct 2022 • Solo,The best in India for Exotic and Niche perfumes,I have known him for almost a Decade now and never ever have been disappointed by the device product or the price. The best in his business. Keep up the excellent work Gaurav
Opulence_Perfumery,Lalrema V,5.0 of 5 bubbles,Oct 2022 • Solo,5 star,"What can i say about the owner gaurav ji, more like a brother to me. Since 2017 i have been buying from  him , customer care is 5 star. Cant thank him enough for all these years. Im happy he is growing every year"
Opulence_Perfumery,Priya S,5.0 of 5 bubbles,Oct 2022 • Friends,Best Perfume shop in Lucknow,This is one of the best perfume shops ever you will find in Lucknow. The hospitality is amazing aIong with the fragrances available at the showroom.i will highly suggest you to visit and make a purchase. I bought Gucci Bloom and it was love at first sniff.
Opulence_Perfumery,Kaustubh Verma,5.0 of 5 bubbles,Oct 2022 • Solo,Aaah extremely highly recommended,"Let me give you a story review, I spend 1hr 30min in that store and that politeness of staff and that friendly nature helped me a lot while deciding the perfect parfum for meh I got 3 of them and all those products were a complete satisfaction like seriously I never stayed in any store for so long I discovered a lot fragrance and all of those were genuine product if you are a fragrance lover you must visit it.. trust me you won’t get disappointed, highly recommended store and the best store for fragrance, having a vast collection of fragrances.. love being there and will visit again very soon..! One again I am saying do visit it and trust me you will love it ♥️"
Opulence_Perfumery,Prajval J,5.0 of 5 bubbles,Oct 2022 • Friends,Excellent 👌,"Opulence perfumery has an amazing collection. The options are unrivalled, prices and quality can rival any Sephora or any luxury outlet throughout India. Have options to purchase decants, miniatures, travel kits, or testers individually which you wouldn't find anywhere. Go for it, you wouldn't be disappointed"
Opulence_Perfumery,Abhishek V,5.0 of 5 bubbles,Oct 2022 • Friends,Best Fragrance Boutique in Lucknow,Enjoyed my visit  to Opulence Perfumery  The store has such a huge range of fragrances that will make you go crazy. It was amazing time spent .. Best fragrance I came across was Trudi Siberian Oud and 24 Gold Elixir Scentstory .. Kudos to the team
Opulence_Perfumery,Debashree Mukherjee,5.0 of 5 bubbles,Sep 2022 • Solo,Must visit places in Gomtinagar,Nice place with great collections and  vast varieties... Must visit if u wanna have some good experience
Opulence_Perfumery,Sherwin U,5.0 of 5 bubbles,Sep 2022 • Solo,Mesmerising experience,"The best place to get any perfume you desire at great prices. Whenever I place an order, i receive it within a day or two and that is just great service  !! Keep up with the customer satisfaction and smooth effortless transactions."
Opulence_Perfumery,R N,5.0 of 5 bubbles,Aug 2022,Great service,"I have only discovered this store recently, but have had excellent experiences each time I order. A personalised handwritten note, a sample or two, a couple of other gifts such as a small notebook, have all accompanied the original perfumes I've ordered. Gaurav is available for support online whenever I message him, and I'm definitely a repeat customer for life! The inventory is vast, and there are samples and discovery sets aplenty if you're bored with your stash. Will continue to buy regularly."
Opulence_Perfumery,Shabeer km,5.0 of 5 bubbles,Sep 2022 • Solo,A Must visit for all perfume lovers,"I've been a customer of opulence perfumery for years now and they are yet to disappoint me.They deliver time and time again and I couldn't be happier with the professionalism the team has displayed. Their rates are unbelievable, deliveries are fast and most importantly the customer service is impeccableHere's to smelling great! Cheers!"
Opulence_Perfumery,Manorath,5.0 of 5 bubbles,Sep 2022 • Solo,Gaurav has always offered discounts no matter what I buy. I will keep on buying fragrances from him.,I am in buying perfumes from Gaurav for last four years. Experience with him has been excellent so far. he is a gem of a guy.
Opulence_Perfumery,Kiran,5.0 of 5 bubbles,Aug 2022 • Friends,Amazing fragrance store for perfume lovers,The visit was an absolute delight.Opulence Perfumery not has good brands of fragrance but even their staff seems to be quite knowledgeable in terms of understanding the customer taste. It is one of the best perfume showroom in Lucknow
Opulence_Perfumery,Pratik,5.0 of 5 bubbles,Aug 2022 • Solo,Good,One of the best place to buy perfume. Loved the experience. Thanks gaurav for the whole experience. Great work.
Opulence_Perfumery,Saurabh Sachan,5.0 of 5 bubbles,Aug 2022 • Couples,Awesome & Gaurav (Opulence Perfumery) both are same,"Gaurav is a master in perfumery, he knows what kind of perfume u r looking for n u ask about any fragrance he has it. I always follow his recommendatio. Great hostVr gud knowledge n the most authentic person from perfume industry."
Opulence_Perfumery,Shoaib Shariff,5.0 of 5 bubbles,Jul 2022 • Solo,Perfume lovers’ heaven,"Gaurav is a extremely patient and knowledgeable, and will help you choose the right perfume for you. Coming to the collection in his store, it is simply unmatched. A must visit for all perfume connoisseurs. His website is also kickass with superb delivery and service."
Opulence_Perfumery,goutham n,5.0 of 5 bubbles,Feb 2022 • Friends,Opulence perfumery Review,"Opulence perfumery has been doing wonderful job for perfume connoisseurs in India by bringing Desginers , Niche & Indie houses at affordable prices . I have been buying since 7 yrs & never had single issue with products & services . Thanks to the Gaurav bhai 😊"
Opulence_Perfumery,Bhawini,5.0 of 5 bubbles,Jun 2022 • Solo,Perfume Paradise!,This counts as one of the best experience as a fragrance enthusiast with the widest range of exquisite perfumes for everyone from every range. Absofreakinlutely recommended!!!
Opulence_Perfumery,M Kumar,5.0 of 5 bubbles,Jun 2022,BEST PERFUME SHOWROOM IN LUCKNOW,"It is an amazing place to try new fragrances. the employee is quite polite and patient,.Ill highly recommend to everyone to visit once. The store is made up in 2 floors. The above floor is mecca for perfume lovers"
Opulence_Perfumery,PRIYNASHU,5.0 of 5 bubbles,Mar 2022 • Couples,Sure shot stop if u r looking for authentic perfumes in Lucknow,Amazing experience at opulence perfumery. Here u get all authentic perfumes with guarantee.Amazing variety they have.Though i m not perfume enthusiast but the staff as the owner Mr. Gaurav were amazing host n helped me choose a good perfume within my budget.I wud highly recommend this place for lucknowites.
Opulence_Perfumery,Davensh Y,5.0 of 5 bubbles,May 2022,Lovely store with wide range of fragrances,The store is amazing. I had lovely experience there. Glad that Lucknow has such niche fragrance store. It was much needed
