Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Babulnath_Temple,Devendra G,5.0 of 5 bubbles,Aug 2022,Temple of Lord Shiva,"Babulnath temple is an ancient shiv mandir in Mumbai. The actual temple is around 800 years old, however it was lost in time and re-constructed in 18th century. There is a steep climb up to the temple. There is also a facility of elevator which can be opted to reach the top."
Babulnath_Temple,Priyank,3.0 of 5 bubbles,May 2022,nice temple but lot of construction going on for last 3 -4  years,nice temple but lot of construction going on for last 3 -4  years so there is a lot of noise and dust everywhere that ruins the experience otherwise it is a nice temple
Babulnath_Temple,Priyanka,5.0 of 5 bubbles,Oct 2020,Lord shiva,"Very close to girgaum chowpatty. Walking distance from grant road station and Charni Road station. There is a lift to go to temple which is on height. Lift charges 1 Rs so keep a change of 1 rupee coin. You can also use staircase near the lift.Serene, quiet and mesmerising. You will feel peace of mind. You will forget all your worries. "
Babulnath_Temple,partha pratim ray,5.0 of 5 bubbles,Mar 2020,Peaceful spiritual abode of Lord Shiva,The temple is located very near to marine drive and Charni road train station high atop a hill that is accessible both using stairs and a  set of elevators. most fo the devotees use elevators that charge a nominal rupees 1 for the uphill and downhill journey. The temple architecture is worth watching. The entire temple complex is very neat and clean and well managed.  The inside of the temple is spacious and devotees can spend enough time inside the main shrine where the swambhu shiva lingam is there. The evening aarti that starts sharp at 6 pm every day is a visual treat.
Babulnath_Temple,ME_OUTING,4.0 of 5 bubbles,Jan 2020,place for serenity,"Walking distance from the Charny road station ,Babulnath temple is one of the oldest temple.One can take the steps or lift to reach to the temple.Try the morning time to avoid the crowd and also you will ample of time to sit inside the sanctum peacefully.The management is trying to keep temple clean.but overall ,do not miss the ancient beautiful temple and feel the positive energy."
Babulnath_Temple,seeker_here,4.0 of 5 bubbles,Jan 2020,Nice Temple near Chowpatti,The Babulnath Temple is a nice temple to visit. it is located near Girgaum Chowpatti and Wilson College.
Babulnath_Temple,Geeta Krishnan,5.0 of 5 bubbles,Nov 2019,Babulnath,"One of the oldest Shiva temples, this one is mesmerising, divine and beautiful with lovely views around. Monday is the best day here where crowds throng this place to have a glimpse of Lord shiva, you can do pooja here every day."
Babulnath_Temple,Krishna,5.0 of 5 bubbles,Aug 2019,Holy Place,One of the oldest Lord shiv temple in mumbai. If you believe in Lord Shiv then you should sure visit the temple
Babulnath_Temple,Anand K,5.0 of 5 bubbles,Dec 2019,A vibrant Shiva mandir atop a hill..,"Its perched atop a mini hillock. In the past, you would have to climb up a flight of stairs, which of course adds to the experience. Now, they have an elevator, which takes you to the top in less than a minute for less than a rupee. We reached there in the middle of the afternoon on an otherwise warm day. But the temple was super cool, literally. Could be because of the elevation, or the structure, or most likely the divinity. The shiva linga itself is grand. And you can just spend time inside the temple without anyone bothering you. Can enjoy a personal space inside a usually crowded temple. DOnt miss the story of Sri Sundernath baba. I used to believe that the Gods had forsaken the city. So nice to hear of a siddha visiting the place specifically for the temple.... a cute story...The precints are  clean, well maintained - even the restrooms. Can easily spend a couple of hours here..."
Babulnath_Temple,sohilgoodluck,5.0 of 5 bubbles,Oct 2019,nice Shiv temple,"This temple is well maintained, offering peace and calm despite the large crowds. The shrine to Lord Shiva is found at the top of a steep stairway. Luckily there is a lift for those who cannot climb.Evening Aarti is highly recommended, daily around 5:45-6pm. It’s like being transported back to an ancient time, really mesmerising."
Babulnath_Temple,ManojSood,4.0 of 5 bubbles,Dec 2019,Ancient Shiva Temple,"Babulnath Temple is located close to Girgaum Chowpatty. May be approached by local trains by getting down at Charni Road and taking a cab from there.As per legend, the Shiva, Parvat, Ganesha and Hanuman idols date back to 12th century but were located at the temple site in 18th century. The present temple was built by Gujarati devotees. Mumbaites hold this temple in high reverence. There are huge queues for visiting this temple on Shivaratri and all Mondays.I visited on a normal week day and could spend a lot of time in the sanctum sanctorum after offering water to the holy Shivalinga. There were many people sitting there soaking in the serene atmosphere & quietly reading their prayers.While devotees prefer to walk up the steps to the temple ( it takes just a few minutes ), there is an elevator also available.It is difficult to find car parking close to the temple.The temple complex has well maintained, clean toilets."
