Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Gateway_of_India,Shweta S,4.0 of 5 bubbles,Feb 2023 • Family,Beautiful,It must visit morning or night.It's beautiful historical place In mumbai.when we were there a lot of crowd there.We enjoyed the boat.Beautiful Gateway Of India🇮🇳.
Gateway_of_India,wonderful life,5.0 of 5 bubbles,Feb 2023 • Couples,Wonderful place,"Excellent place to visit, we loved it overall and highly recommended. Best for couples ND a must visit place in Mumbai not to miss "
Gateway_of_India,Raoul B,5.0 of 5 bubbles,Feb 2023,Historic place symbolizing rise and fall of British empire,Interesting site to understand the power of British rule in India and to see where the last British soldiers said farewell to India
Gateway_of_India,adc189,4.0 of 5 bubbles,Jan 2023,Iconic building next to the Taj Mahal Palace hotel,"Both the Gateway and the Taj Mahal Palace hotel (not that of  Akra) are iconic buildings, making the area interesting. From there,  you can take a boat to Elephanta caves. Worth visiting!"
Gateway_of_India,Acineto,5.0 of 5 bubbles,Jan 2023,Archway into the Sea,"The Gateway is quite a large archway located in the Colaba region of Mumbai. There is a large area in front of the gate where many people congregate and take photos. The gateway is very large and has some information about the history. There are a few other monuments nearby, including the Taj Mahal Palace.There is only one entrance to the area which requires bag screening and searches, usually when it's not too busy. It is free to enter the place. There are food stalls located outside the main entrance which sell a variety of different street food. It does get really busy though, since the area also has terminals for many ferries around the area including Elephanta. It was particularly busy on Sunday where the traffic was very heavy along the area. It is a nice place to make a day of since there are plenty of other attraction and sites around here."
Gateway_of_India,Melina Devi Seeam,5.0 of 5 bubbles,Jan 2023,Gateway of India,"A must-visit landmark when in Mumbai. I got to see the sunset, nightfall, sunrise through the Gateway of India while staying at the Taj Mahal Palace & Tower. As part of the Tata Mumbai Marathon, there was a show going on at the Gateway that got the whole area filled with a serenade of Indian classical music and beats which made it truly a magical experience. An important point to note is that due to the Gateway being a very popular landmark it is very crowded. In the mornings before 8am or late nights after 11pm are the best times to visit from my experience. To get a full view of the Gateway along with the Taj, you would have to catch a ferry ride."
Gateway_of_India,abhilashadoor,4.0 of 5 bubbles,Jan 2023,Gateway of india,"The Gateway of India is a historical monument located in Mumbai, India. It was built in 1911 to commemorate the visit of King George V and Queen Mary to India. The monument is located at the tip of Apollo Bunder, overlooking the Arabian Sea.One of the major attractions of the Gateway of India is the boat rides to Elephanta Caves, which is a UNESCO World Heritage Site. The boat ride takes around an hour and offers a beautiful view of the Mumbai Harbour and the city skyline.The Gateway of India is a popular tourist spot and is always crowded. However, the crowds are manageable, and the monument is well-maintained by the authorities. Overall, the Gateway of India is a must-visit destination for anyone visiting Mumbai."
Gateway_of_India,Pavel N,5.0 of 5 bubbles,Nov 2022,Gate of India,Very impressive structure in the front of the famous and exclusive Taj Mahal Hotel. There are lot of various boats in the harbor.
Gateway_of_India,Rajesh R Kumathekar,5.0 of 5 bubbles,Jan 2023 • Family,Gateway for India,"Visited with family after a long gap and very good to see Nice Architecture with rich history, one of the most valuable for every Indian"
Gateway_of_India,Arun Mani Kanta Gunda,4.0 of 5 bubbles,Apr 2022 • Solo,Sight seeing ,Nothing more specific important to visit here just a normal basic visit just to see the monument security is good and tourists are more 
