Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jehangir_Art_Gallery,Andrew D,3.0 of 5 bubbles,Dec 2022 • Solo,Free Museum,Drop by to get acquainted with India's creative scene. There are two floors and they mainly focus on creative paintings.
Jehangir_Art_Gallery,Michael P,4.0 of 5 bubbles,Dec 2022,Bright open Galleries,"This art gallery is free and showcases the work of contemporary Indian artists. I was lucky enough to meet several of these and spent an interesting hour in conversation with them. Bright, light and spaciou galleries. Outside the gallery other artists also display their work for sale."
Jehangir_Art_Gallery,Sophie,5.0 of 5 bubbles,Feb 2022 • Friends,Art gallery inside and street art outside,"Went to a wonderful show with contemporary artists. They were present at their show and easy to talk to, and you could pick up some really amazing art for your home. There is also lots of street art for sale outside - definately worth checking out! It's in the Kala Ghoda art district, so it's easy to spend an afternoon there."
Jehangir_Art_Gallery,Deepak Mallyk,5.0 of 5 bubbles,Oct 2019,Brilliant artwork,"It was an unplanned visit but I am glad that I visited this art gallery. An occasional painter myself, I was very happy after the visit.Some of the best artists across the country display their artwork at this place. My favorite one was the gallery fully dedicated to realistic paintings. There are galleries for everyone's taste, stone carving, abstract art, photography and many more."
Jehangir_Art_Gallery,Suhaib Q,5.0 of 5 bubbles,Feb 2020,https://www.tripadvisor.in/AttractionProductReview-g304554-d20109112-Mumbai_City_Tour_With_Laundry_And_Hotel_Transfers_S,"Visited here with Showcase India Tourism Company , found it worth my visit really a hub for art lovers.."
Jehangir_Art_Gallery,Vinod S,4.0 of 5 bubbles,Feb 2020,Broad palette of local artists exhibited.,"Interesting exhibitions of local artists and sometimes photographic exhibitions on the first floor, plus a small gallery for individual artists."
Jehangir_Art_Gallery,seeker_here,4.0 of 5 bubbles,Jan 2020,A Mumbai Landmark,"The Jehangir Art Gallery is a true Mumbai landmark, if there ever was one. It is probably the most famous art gallery in India."
Jehangir_Art_Gallery,Vikas Singh,5.0 of 5 bubbles,Dec 2019,Best art gallery in Kala Ghoda art district,There is no entry fee for the museum. One of the most prestigious art galleries in the country it was established in 1952. The outside pedestrian area also has open art gallery where budding artists display their work for sale.
Jehangir_Art_Gallery,Voyage798781,5.0 of 5 bubbles,Dec 2019,Modern Art and beyond,A great selection of modern art with many halls exhibiting different art forms from the well known to the lesser known to the budding artists but all beautifully curated to make a good viewing experience. Don't forget to check out the street artists as you step out of the Jehangir. They are on the left and the right as you step out and have some beautiful art adorning the street fencing. I personally prefer to help the unknown artists because these are the voices that go unheard. Some of them have such amazing natural talents but merely due to circumstance are unable to afford the hire of an exhibition space. Please look them up if you get a minute. 
Jehangir_Art_Gallery,KRAMA200,5.0 of 5 bubbles,Nov 2019,Art Gallery with No Entry Fee,"Jehangir art Gallery is a Land Mark Building in the Fort Area Of Mumbai.The Hall is small but Artistes deem it a Previlige to display their Artefacts here. It is well patronised and residents of Mumbai love to visit and admire the paintings.There is some exhibit or other through out the tear.I had gone here to visit many times.This time when I visited There was a Show of Paintings by a budding artiste,A Good Show. Visit if you have time"
