Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mahalakshmi_Temple,Devendra G,5.0 of 5 bubbles,Aug 2022,Mahalaxmi temple,"Temple of Mahalaxmi devi in South Mumbai is one of the oldest in the city. One can walk in at any point of time in the day. There are some stairs but not many, hence even senior citizens can visit the temple conveniently. Garlands and sweets for offerings are available outside the temple."
Mahalakshmi_Temple,Robert K,5.0 of 5 bubbles,Feb 2021 • Solo,India,An old temple of Shree MahaLakshmi devi. Devotees can get flower and garland from dozens of stalls near the temple. Walk-in visit is most convenient.
Mahalakshmi_Temple,Sanjay mahavar,5.0 of 5 bubbles,Nov 2020 • Family,Mahalakshmi Temple,Mahalakshmi Temple is one of the famous temple of Lord lakshmi in mumbai. The temple is so beautiful. I visited this temple with my family .Sea near by makes it more attractive.
Mahalakshmi_Temple,Youngest_traveler_,5.0 of 5 bubbles,Mar 2020 • Family,One of the famous places to visit in mumbai . ,"A good place to visit . Here we get fresh up with positivity and blessings . Love to visit this place . This temple is reffered to goddes laxmi ( Goddess of wealth ) i had visited here with my family . You should visit this place .With regards , Youngest_traveller_ "
Mahalakshmi_Temple,sunilk2100,4.0 of 5 bubbles,Oct 2019,Mahalakshmi Temple,Mahalakshmi Temple.. A nice popular temple. Go and take some blessings from and spend some time with inner soul.
Mahalakshmi_Temple,Sudip Basak,3.0 of 5 bubbles,Dec 2019,Not a must visit,"If you are bounded by time, this temple should not be on your 'must visit' list. There are very long queues. You will have to spend a long time standing in the line, getting roasted in the midday sun (if you decide to visit in the afternoon), before you are allowed entry into the temple. But do visit it if you have got the time."
Mahalakshmi_Temple,Schanbis,4.0 of 5 bubbles,Jan 2020,A popular temple in Mumbai,"The Mahalakshmi Temple is one of the most popular temples in Mumbai. It is dedicated to the Tridevi goddesses - Mahakali, Mahalakshmi and Mahasaraswati. All these deities are lavishly adorned with jewellery. The main deity, Mahalakshmi, is at the center shown holding lotus flowers. It is an interesting place of attraction for spiritually motivated visitors."
Mahalakshmi_Temple,sunder36993699,4.0 of 5 bubbles,Jan 2020,Very good place,"This place is one of the finest monastries that represents the historical sculptures in the world, one of world's largest rock cut monastry-temple cave. The place is so peceful one can feel and hear the inner voice. The scuptures depict the present of god and godesses. its a UNESCO world heritage site and is such a beauty, the view and everything is sightful and stunning."
Mahalakshmi_Temple,Raghunath R,5.0 of 5 bubbles,Feb 2020 • Solo,Nice temple,Excellent temple in India . Mahalakshmi temple is the best temple & there staff also very good and helpful. Thank you🙏💕🙏💕🙏💕🙏💕🙏💕
Mahalakshmi_Temple,sushant singh,5.0 of 5 bubbles,Feb 2020 • Solo,Goddess Lakshmi,"Mahalakshmi railway station is named after goddess Mahalakshmi. This temple is located at walkable distance from railway station. Temple is very crowded at Tuesday, Thursday and Saturday. Mahalakshmi temple is one of the oldest and iconic place to visit in mumbai. This temple is sea facing."
Mahalakshmi_Temple,Geeta Krishnan,5.0 of 5 bubbles,Oct 2019,Devi temple,Its because of this Devi Mahalaxmi that a person coming and staying in Mumbai never goes hungry or without money. Its a powerful devi temple with lovely view of the Arabian sea. A must visit for all ages.
Mahalakshmi_Temple,Bill Weir,4.0 of 5 bubbles,Feb 2020,Popular seaside temple is open to non-Hindus,"Visitors are welcome to visit the temple and gaze at the shiny brass-covered Mahalakshmi in a silver-covered shrine. Just leave your shoes in the racks before the steps. Note separate lanes for women and men. Strictly no photography here, but security didn't object my bringing a camera and cell phone as long as I didn't use them. Continue around back for small shrines to Ganesh, Hanuman, and Shiva plus sea views and a tea shop. Countless shops along the entry road sell flower and coconut offerings, sweets and religious souvenirs. Temple wasn't crowded when I visited late afternoon on a weekday."
Mahalakshmi_Temple,karthik0410,5.0 of 5 bubbles,Dec 2019,Serene,"Mahalaxmi temple is one of the oldest and one of the most temples in Mumbai. Along with Laxmi, they have idols of Saraswati and Kali too. Try and visit the temple during weekdays or off-peak hours to avoid rush."
Mahalakshmi_Temple,Hirenkumar Panwala,4.0 of 5 bubbles,Sep 2019 • Family,Good auspicious place,"Nice sea facing temple with pleasant feeling .. one of the ancient temple..I went with family along including my parents , wife n son.. the entry raod to Temple is narrow .. u might find difficulty to park car as it is crowded area.. But inside the temple the cleanliness is well maintained .. "
Mahalakshmi_Temple,Aadhes,5.0 of 5 bubbles,Aug 2019,Hindu Goddess,We went on a Holiday it was very crowded and the phones and cameras were not allowed due to security reasons. This is a Hindu temple and the people believe in the Goddess. Nice place to visit.
Mahalakshmi_Temple,Ankit Kapoor,5.0 of 5 bubbles,Nov 2019,Famous Temple,"It is a famous temple and I have been here number of times. Earlier access was allowed from behind the temple to the sea, but not it was blocked. Still, the temple is worth a visit."
Mahalakshmi_Temple,KRAMA200,5.0 of 5 bubbles,Nov 2019,Landmark Temple in Mumbai,"The Mahalaxmi Temple is one of the oldest temples situated in the city of Mumbai. Located on the Bhulabai Desai Road in Mahalaxmi West, it is dedicated to Goddess Mahalaxmi or the 'Goddess of Wealth'. The temple was built sometime around the 16th - 17th century and the main presiding deity here is Goddess Laxmi, while Goddess Kali and Saraswati are other two deities worshipped here. Together, the three idols are known as Mahalaxmi, Mahakali and Mahasaraswati.The Temple is simple and charming in appearance.The idols of the godesses are adorned wirh Gold Rings and Pearl necklaces. Though the place is always thronged with people as this is considerd as a Sacred Temple,the day we went there was not much rush and we could have a good Darshan.It is advisable to visit in the mornings as you will avoid Rush then. A divine experience."
Mahalakshmi_Temple,Arts_164u,5.0 of 5 bubbles,Dec 2019 • Couples,Jai mata di all I can say,One of very famous temple in mumbai with a sea view behind. Very peaceful place. Parking is a dream. Can visit hajiali as well.
Mahalakshmi_Temple,KOMAL Singhal,5.0 of 5 bubbles,Dec 2019 • Family,Mahalkshmi temple,This place has 3 God's ..very crowded on Friday...mahalaxmi has famous pakoda wala inside temple after stairs..u can see waves and sea also from there...this place has loads of fulfillment of wishes..this is one of the most believed temple in Mumbai like siddhivinayak
Mahalakshmi_Temple,sushilgarg778,5.0 of 5 bubbles,Nov 2019 • Family,Beautiful Temple,Mahalakshmi the goddess of prosperity. We all have many feelings about goddesses laxmi. In Mumbai Mumba Devi is a temple of goddess lakshmi. Beautiful temple the statue is beautiful and many stories are attached with this temple. We worshiped there and took Prasadam which is very tasty.I also got a saree in Prasadam . I feel very blessed after the worship of Mumba devi lakshmi temple. We bought lotus flowers there for goddess. Such a beautiful experience of me when we were in the temple.
