Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Manori_Beach,Bruno R,1.0 of 5 bubbles,Dec 2020 • Couples,Marve-Manori Jetty Service,"I had a worst experience with these stupid Jetty people while returning back at night. These idiots left us on wet sand that would make our scooter get stuck in it. We had no help for minutes. we had to request a man and pay extra for help. Me and two more scooters were left in open sinking sand very far away from the actual docking location. Dragging our scooter out of the wet sinking sand was hell of experience. I was breathless, weak person Candie or attack and panic.. It was scary and dark with no lights, no person to hear you. The jetty boat left people deep inside due to low tide. There were enough workers and yet they ran in jetty again. I had paid for jetty tickets and also for bike. Yet they refused to get my bike out of wet sand. This is stupidity and risky service specially at night. The Marve - Manori Jetty service providers should be considered responsible for each and every passengers safety. Hope this feed back makes a difference and a tight slap on their face for stupid disgusting wicked Jetty service providers."
Manori_Beach,Sanjib S,4.0 of 5 bubbles,Nov 2019,"Place to rewind, for a quite day out.","Somewhat quite place within Mumbai suburb. There are decently clean places to stay near beach. One resort on the beach and little expensive. You will find all regular run of the mill popular dishes on the menu. If you like seafood, local fresh catch is available, please talk to the resort manager of chef.Good place to laze around on quite beach. Water is not so clear & seashore is rocky and dangerous to venture into the water. No life guard is available. "
Manori_Beach,ashwin k,4.0 of 5 bubbles,Aug 2019,Go via ferry,this beach is not so clean but it is a good place to spend time away from too crowdy locality. Going via ferry is a good moment
Manori_Beach,Kaypee333,4.0 of 5 bubbles,Feb 2019,Peace full,Hi friends have you ever went to beachI went to manori beach it was so nice and peacefull placeIts is the very good place to visit with family membersBut if you are in the thought of going a trip along with the friends this place is perfect to enjoy the time with your friendsYou can hangout with your friends very joyfullyAnd it is awesome for couples.I loved the beachThe sound of water was so pleasant to hear.I had the best time in manori beachIf you also wanted to experience the same then surely visit manori beach in mumbai
Manori_Beach,Nidhi,5.0 of 5 bubbles,Nov 2019 • Family,Picnic,"Manori is one of the island's in Mumbai, located in Northern most part ofMumbai even after being an island you can still take a roadway to reach here via Mira-Bhyander highway and another mode of transportis through water, if you are travelling with family it will be a nice experience. Need to take a ferry from Marve beach, Malad west."
Manori_Beach,Paddyrao,4.0 of 5 bubbles,Nov 2019 • Family,Calm and clean beach,"We went on a Sunday afternoon to Manori beach in Gorai. It was a 1.5 hour drive from Goregaon. There is lot of greenery all along the drive to the beach, after crossing Mira road area. Not much directions available to reach Manori beach, but we just followed Google maps, and asked around a few times. Manori beach is a refreshing change compared to the crowded juhu beach. There are a few resorts in this area where you could stay. Food options are available outside the beach. "
Manori_Beach,Iqbal M,5.0 of 5 bubbles,Oct 2019 • Solo,nice,manori beach is of the best beach in mumbai its such a lovely to meet sunset here at manori beach its super amazing
Manori_Beach,Nikhil P,4.0 of 5 bubbles,Jul 2019 • Solo,Calm and serene beach,"Located at Gorai, this is far less visited beach as compared to its popular cousins like juhu and girgaum . Since it is less visited, the place is quite clean however ease of access takes a back seat over here."
Manori_Beach,BomiPardiwalla,3.0 of 5 bubbles,Apr 2019 • Family,Peaceful,"One of the few peaceful beaches, only cos its far from the City. It can get irritating if a noisy group present. The sands can be black and dirty."
Manori_Beach,meena1981,4.0 of 5 bubbles,Apr 2019 • Friends,not much crowded beach,"The beach is clean and not very crowded with food stalls.The food available was okay but I suggest you to bring it with you. Its a good place for picnic with friends and family.It is located in malad. If you want to see sunset with their loved one then it is a nice place. Manori beach is good option for family one trip, also for couples and hang out with your best buddies. The beach is also dangerous because it is the part of Arabian sea and the waves are too high and forcefully hit the beach."
Manori_Beach,SunnyOli,3.0 of 5 bubbles,May 2018 • Friends,Favourite among the western Suburbs as a weekend destination,Manori has long been among the western suburb's favourite beach.A ferry across Marve to Manori & you are transported into a holiday world!Small resorts providing easy access to Manori beach highlight the Manori area - a weekend destination for many
Manori_Beach,Ashish,3.0 of 5 bubbles,Dec 2018 • Family,Clean & serene beach,"The approach road to the beach is a problem, you would find it difficult to find it.  Although the locals do guide you.There is no public toilet available, we noticed one being constructed. We used the restrooms of the nearby hotels.  It would be better if you have your own food because there's not much options around."
