Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Shalini,5.0 of 5 bubbles,Feb 2023 • Solo,Nice,Nice ambiance.....Hygienic placeTherapy and therapist both was goofTherapy suggested by Dr...she was very kind
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Suresh,5.0 of 5 bubbles,Feb 2023 • Solo,Therapy,"Very good.. me and my wife taken Ayurveda therapy suggested  by doctor .it was very relaxing,our therapist was so good ...."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Audrey,5.0 of 5 bubbles,Feb 2023 • Solo,Excellent,As you enter the wellness centre the whole ambience ia absolutely welcoming followed a foot wash and the massage experience that is absolutely rejuvenating and relaxing
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Mitilesh,5.0 of 5 bubbles,Feb 2023 • Solo,Excellent,Fabulous environment enchanting invegorating experience even the therapist was very good will surely visit again
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Ajay saraf,5.0 of 5 bubbles,Jan 2023 • Solo,Nice,Must visit Nice ambianceMy therapy and therapist both was goodI am totally relaxedI will come again..
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Saurabh,5.0 of 5 bubbles,Jan 2023 • Solo,Wonderful,Wonderful experience and worth the price...A  Must visit in Mumbai if you are looking to relax and take abreak from city monotony!
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Asama dean,5.0 of 5 bubbles,Jan 2023 • Friends,Relaxing,I like this therapy.it was Swedish massage. I took for 60 min it was very relaxing and my therapist was good
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Rahul,5.0 of 5 bubbles,Jan 2023 • Friends,Good,So good and relax doctors are so knowledgeable and supportive to me I really get good guidance from them
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Naim,5.0 of 5 bubbles,Jan 2023 • Solo,Nice,"I took Balinese therapy for 60 min it was very relaxing,here you can see lots of therapy,must visit .."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Mahesh,5.0 of 5 bubbles,Jan 2023 • Solo,Therapy,"Highly recommended,must go for therapy,therapist is very technical,she knows all the technique and therapy"
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Satya,5.0 of 5 bubbles,Jan 2023 • Solo,Amazing,"Highly recommended,excellent service ,good ambiance,doctors are so knowledgeable,must visit,best spa …."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Angad,5.0 of 5 bubbles,Jan 2023 • Solo,Swedish massage,"Great experience - peaceful! Systematic, well trained, quiet, they know what they’re doing! Right in south Mumbai"
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Hannah Jones,5.0 of 5 bubbles,Jan 2023 • Couples,Spa massage,I had a great massage at muktaa spa! So glad I went! Would highly recommend the sports massage and the body scrub/wrap.
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Akash D,5.0 of 5 bubbles,Jan 2023 • Solo,Excellent ,"Great service, take the deep tissue. Highly recommend. Calm, serene ambience. Always a pleasure to be here. Therapists are well trained."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Mina,5.0 of 5 bubbles,Jan 2023 • Solo,Great massage and staff,Great staff and facilities the massage was very relaxing and steam shower after was pleasant. I look forward to coming again
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,shi,5.0 of 5 bubbles,Jan 2023 • Solo,Great massage and facilities,It was a good experience and the families were great. The Swedish massage is highly recommended I felt very relaxed
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Prakash,5.0 of 5 bubbles,Jan 2023 • Solo,Awesome,Excellent therapy would like to come nc work done by therapist I will suggest my frnd  to come here nice therapy
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Ishishan,5.0 of 5 bubbles,Jan 2023 • Solo,Excellent,"Very excellent ,comfortable and relaxed ,and team the doctor very kind ,highly recommended ,must visit"
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Chandra prakash,5.0 of 5 bubbles,Jan 2023 • Solo,Nice,"Highly recommended,must visit here ,dr was very good,she suggested the best therapy according to my health..."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Suhas raj mane,5.0 of 5 bubbles,Jan 2023 • Solo,Excellent,"Excellent therapy,my therapy and therapist  was good,therapy suggested by doctor, it was very relaxing.."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Rameshwar patil,5.0 of 5 bubbles,Jan 2023 • Friends,Therapy,"It was very relaxing , our therapist was good ,she knows proper therapy,and all points,must go for it.."
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Balasaheb kadam,5.0 of 5 bubbles,Jan 2023 • Friends,Therapy,"It was very good i m totally relaxed, staffbwas very good and well trained and qualified, highly recommended"
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,travellover131,1.0 of 5 bubbles,Jan 2023 • Couples,CONSTRUCTION NOISE!! PLEASE BEWARE!,We got to the place at 10:30 for a 1 hour foot massage after reservation. When I got there there were not prepared and It took them 30 minutes to setup which was a very long wait for us.  Then 15 minutes into the massage there were continuous loud unbearable sounds of drilling and construction in the building.  When I asked the therapist about it I was told that this noise happens everyday.  This place should warn their customers about this while booking and recommend timing when there is no noise.  It absolutely ruined the whole experience and I just wanted to get out of there.  Also the place is not well maintained.  Paint feeling off the walls and dingy. I will never visit this place again.  I also think some of the other reviews on this page are fake.
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,shantilal,5.0 of 5 bubbles,Jan 2023 • Solo,therapy,"it was very relaxing  , must go for it ,my therapist was so good,best apa in Mumbai.........totally relaxed"
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Shilps,1.0 of 5 bubbles,Dec 2022 • Solo,BAD,"How can one write a Review, as I visited the spa yesterday, and what was informed to me by the Receptionist is extremely shocking - As per their company rules one need to pay for the services in ADVANCE.I have visited multiple high-end spas and have never come across any spa's asking for money in ADVANCE - Seems like the Company is not sure about their own services"
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Fatima,5.0 of 5 bubbles,Dec 2022 • Solo,Therapy,The therapist was fantastic and she knew all the points of nerve and body got relxd aftr therapy. ..
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Ajit Raikar,5.0 of 5 bubbles,Dec 2022 • Solo,Therapy,Great experience. Good therapist . Will visit again. I took head neck back and shoulder therapy it was relaxing
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Mihir00,5.0 of 5 bubbles,Dec 2022 • Friends,Sfurti,Very professional therapists.Very good massage.Good ambiance and quiet and clean place. An experience wor th repeating.
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Neha,5.0 of 5 bubbles,Dec 2022 • Couples,Very relaxing,Had a relaxing session.. always nice to visit here to feel relaxed & rejuvenated … this place surely knows how to get you back here again and again 💕
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,ALI,5.0 of 5 bubbles,Dec 2022 • Couples,Amazing,Amazing massage and prices and really helpful staff.This is a must visit for me. I love this place and i visit it regularly
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Kunal M,4.0 of 5 bubbles,Dec 2022 • Couples,Good,The massage was really good.and the service also hood ambiance must go for it best spa in mumbai ....
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Sangeeta Kalant... J,5.0 of 5 bubbles,Dec 2022 • Friends,Awesome experience,Thank you so much shelly for an amazing and awesome experience it was a very nice process and experience overall
Muktaa_The_Wellness_Clinic_Luxury_Spa_Marine_Drive,Aditi D,5.0 of 5 bubbles,Dec 2022 • Couples,Therapy,I took sweddish therapy it was very relaxing and my therapist was so good must visit good ambience..
