Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Rajabai_Clock_Tower,Albert Y,4.0 of 5 bubbles,Jun 2022,University Clock Tpwer,This clock tower is quite tall and the clock is large and so the time is easy to read. It is decorated with stature of indian figures. College Gothic architecture.
Rajabai_Clock_Tower,igolfCA,4.0 of 5 bubbles,Mar 2020,Interesting,"The clock tower would have been more interesting if it weren’t covered by scaffolding. However, things like that are necessary at times for repair or cleaning. Our guide said this tower was reminiscent of Big Ben as it was built by the British. Very interesting architecture combining Gothic and French style. The tower stands tall at 250 feet. Worth a visit."
Rajabai_Clock_Tower,Steven H,4.0 of 5 bubbles,Feb 2020,A Must See in Mumbai,"A good site to see. It was difficult, however, to get a good view from across the street. Perhaps another angle would produce a better photo. "
Rajabai_Clock_Tower,Houman,4.0 of 5 bubbles,Feb 2020,Nince Story,"The clock tower has a nice story behind its construction. Worth to see the whole area , a lot of historical monuments nearby"
Rajabai_Clock_Tower,Maria B,5.0 of 5 bubbles,Oct 2019,nice tower,It reminds me of Big Ben in London but then it was built by the British when they ruled India. It has a very nice playground close by and a lot of wonderful old buildings nearby like the University and the court house which are all architecturally amazing. 
Rajabai_Clock_Tower,Peach P,3.0 of 5 bubbles,Nov 2019,Like Big Ben,This clock tower at Bombay University is reminiscent of Big Ben. It was built during the British rule.
Rajabai_Clock_Tower,macedonboy,4.0 of 5 bubbles,Nov 2019,"Magnificent tower, but shame I couldn't get closer","The Rajabai Clock Tower is another legacy of the British Empire in India. It's a Victorian era clock tower built in the store of Gothic revival, most evidently at the apex which is the epitome of a Gothic tower. This tower is close to several landmarks of Mumbai and it's worth a detour if in the area. There’s supposed to be a chime every 15 minutes, but there’s seems to be renovation working ongoing as there’s lots of scaffolding around the tower and I couldn’t get into the gated area of the clock tower. Magnificent tower, but shame I couldn't get closer. From the outside, the terraces and matching towers with the open staircases look beautiful."
Rajabai_Clock_Tower,Krishna Kumar,5.0 of 5 bubbles,Oct 2019,great clock tower,the great clock tower of Mumbai..with one of the largest clocks showing tight time... I like visiting there and explore the great making.
Rajabai_Clock_Tower,Vilaas,5.0 of 5 bubbles,Oct 2019,Similiar to BigBEn,By the Bombay high court & close to the Elphinstone college.Is close to the Churchgate & Bombay VT railway stations.Close to the Fort Area....Great for all kinds of shopping.Always looked up to synchronize the watch.
Rajabai_Clock_Tower,StephenMann,4.0 of 5 bubbles,Jun 2019 • Couples,A piece of history,"The building is an iconic structure, looks like it could do with some repairs. You can not go in or around the building but only view from the street"
Rajabai_Clock_Tower,rjpriyanka,3.0 of 5 bubbles,Nov 2018 • Friends,Clock tower,"Another iconic building from british era, a very  beautifully clock tower located inside mumbai university complex."
Rajabai_Clock_Tower,Hitesh S,5.0 of 5 bubbles,Nov 2018 • Family,CLOCK TOWER,"THE oldest clock tower in the old coty of mumbai, its has very good histry of its own, Rajabai is the mother name of the person who has built it, its on stone tower. now part of university, stillpeople can go and see  from outside."
