Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sri_Sri_Radha_Rasabihari_Ji_Temple,Sandy_JSR,4.0 of 5 bubbles,Mar 2021,Attractive ISKCON Temple,"Sri Sri Radha Rasabihari ji Temple, also known as ISKCON Temple, is situated in Juhu area in close proximity of Juhu Beach. It is one of most attractive temple of Lord Krishna in Mumbai. The presiding Deities at the temple are, Sri Sri Gaura-Nitai, Sri Sri Radha Rasabihari and Sri Sri Sita Rama Laxman Hanuman.  The temple complex includes a spacious marble temple, an auditorium, restaurant and guest house. The temple has parking space, the entry to temple premises is allowed post security check, provision of show rack is available at entry point. The temple is neatly maintained and has very soothing atmosphere."
Sri_Sri_Radha_Rasabihari_Ji_Temple,Rajiv Chauhan,5.0 of 5 bubbles,Feb 2020 • Family,ISCKON mandir ,A well managed temple with shops selling Krishna merchandise and a Govinda restaurant. Ambience is holy and serene. The temple is large and spacious. 
Sri_Sri_Radha_Rasabihari_Ji_Temple,Krishna Kumar,5.0 of 5 bubbles,Oct 2019,Great divine place,the places are the temple of Jagannath god. I like going there as the place has a decent and meditating... the silence and peace you get are immense.
Sri_Sri_Radha_Rasabihari_Ji_Temple,EliteTravellers,5.0 of 5 bubbles,May 2019 • Couples,Peaceful temple close to Juhu Beach,Located opposite the ancient Mukteshwar Temple ( must visit) this Temple is very close to Juhu and is a peaceful serene place of worship we always try to visit when we are in Mumbai. We did pujas many years ago for a parent and this time did the same for another parent . No one  will bother you and there are so many places within the Temple to pray. Very convenient once inside past security. Clean easy shoe/slipper stand and you can bring your own fruits to be blessed or pick up one inside. Always feel blessed to visit and this time double so with a visit across the street.
Sri_Sri_Radha_Rasabihari_Ji_Temple,Sumitkumar_13,5.0 of 5 bubbles,Feb 2019 • Family,Heavenly,Sri Sri Radha Rasabihari Ji Temple is for Krishna lovers. Very nicely maintained. You can attend the lectures for spiritual enrichment.
Sri_Sri_Radha_Rasabihari_Ji_Temple,kapurash,4.0 of 5 bubbles,Jan 2019 • Couples,Serene Hare Krishna temple,"This is a serene temple in the Bhakti Vedanta school.Run by the Hare Krishna temple trust, found it peaceful visiting this temple in Shastri Nagar part of Andheri. If one could be there for the evening Aarti, that is amongst the best times to be here."
Sri_Sri_Radha_Rasabihari_Ji_Temple,Pankaj D,5.0 of 5 bubbles,Jan 2019 • Friends,Hari Bol,That is a very good school god blessing every one every year there is the Rath Yatra festival there lost of people come Feb 2019
Sri_Sri_Radha_Rasabihari_Ji_Temple,VED_PRAKASH_Patel,4.0 of 5 bubbles,Jan 2019 • Friends,First visit to an ISKCON Temple,"This was my first visit to an ISKCON Temple.Although I heard a lot for it couldn't go earlier to any one of the Iskcon temple. Being Sunday and iskcon is already popular enough that lots of crowd is obvious. Apart from typical prasad, here cakes, gol gappe etc were also available.For the being I felt like I m in a mall.But it's good as actually providing devotion for God/Lord Krishna in mannerism of the people's actual routine life in which they are actually habitual to live.Overall good experience."
Sri_Sri_Radha_Rasabihari_Ji_Temple,ancientsecrets,5.0 of 5 bubbles,Oct 2018 • Solo,My favourite temple in Mumbai,"What an amazing experience... Clean, beautiful, majestic.. Friendly people with a desire to serve and assist any visitor. Includes excellent snack bars and a great restaurant. Lots of shopping for any Puja accessories available. We'll maintained. Beautiful deities.."
Sri_Sri_Radha_Rasabihari_Ji_Temple,Mayur K Nahar,5.0 of 5 bubbles,May 2018 • Couples,Divine Peace,"A complete refreshment whenever i have been here, amazing place with awesome climate always and lots of peace"
Sri_Sri_Radha_Rasabihari_Ji_Temple,Tanvi Rasania,5.0 of 5 bubbles,Nov 2018 • Family,Place for your peace,Jai Shree Krishna..so this place is so beautiful and peaceful that you won't like to leave from here..you can also become a member here..it has library  having different books..there are also food stalls.Must visit place
Sri_Sri_Radha_Rasabihari_Ji_Temple,suneel g,4.0 of 5 bubbles,Oct 2018 • Solo,hare krishna temple,Best place to refresh and pray.Assosiated with ISHKON.Good to visit during Aarthi time.Regular visits make you peaceful
Sri_Sri_Radha_Rasabihari_Ji_Temple,Mahesh Kulkarni,5.0 of 5 bubbles,Oct 2018 • Friends,Hare Rama Hare Krishna,Clean premisesSoothing atmosphereSober outlookTranquil peaceLaid back in ancient times of vedic rhymesDisciplined disciplesBhajan singing devoteesExcellent Food for Life schemeHuge stand for footwearHuge open floor for Aarti n PrasadamFree entrySelf motivated disciplesBest of the class Murals of Head SwamiNo shouting on devotees anywhereNo parking place at allTight securityExcellent ManagementSunday happens to be Big Day
Sri_Sri_Radha_Rasabihari_Ji_Temple,Neerajdangi15,5.0 of 5 bubbles,Sep 2018 • Solo,Peace on Earth,The temple is excellent. It is simply magnificent and all peace while we stand in front of the lord Krishna. The Aarti time in the evening was full of devotees in the temple. The atmosphere was heavenly feeling.
Sri_Sri_Radha_Rasabihari_Ji_Temple,Simi_,3.0 of 5 bubbles,Jan 2018 • Business,ISKCON TEMPLE,"Iskcon temple located in Sri Mukteshwar Devalaya Road, Chand Society, Marg, Juhu is a beautifully crafted temple...they also hold religious festivals and events here"
Sri_Sri_Radha_Rasabihari_Ji_Temple,Rushabh Acharya,5.0 of 5 bubbles,May 2018,Hare Krishna,"The best temple where you get peace of mind when you visit. Situated near Juhu beach, this is the best Radhe Krishna temple.  I also like Charni road Hare Krishna temple which is also very good. Must go to meditate and pray at this pla.ce "
Sri_Sri_Radha_Rasabihari_Ji_Temple,Tarun Kabra,4.0 of 5 bubbles,Jul 2018 • Family,"Best temples awesome prasad, but food and cafeteria is not up to the mark","I visited with my grand parents on july 2018.Enjoyed aarti, dhun, whole interior was nice.Khichdi prasad was also awesome.Since my parents were hungry so we ask for cafeteria.Near to prasad area we look for stall and also seen 56 bhog, but noticed that 56 bhog people were taking were not able to complete due to some taste problem.We had seen 7-8 people one after another, making wastage of food,( because of quality- i ask those people) and pouring in dustbin.I suggested them to feed some needy if u dont want, they simply said we cant take food out as plastic is not available due to ban.Then we decided to take stall.Wherein we take dabeli, pav bhaji, but they too were not tasty.We too had taken parcel as we couldn't finish that.Tea was nice.And then we had taken food at chowpatty."
Sri_Sri_Radha_Rasabihari_Ji_Temple,Arun714,4.0 of 5 bubbles,Apr 2018 • Family,A busy temple !,"Since we were staying nearby, we dropped in for a visit and to buy some agarbattis. Pleasant atmosphere, white marble flooring, an abode of hope for the devout Hindus! Om"
Sri_Sri_Radha_Rasabihari_Ji_Temple,Prateek Joshi,4.0 of 5 bubbles,Jul 2018 • Couples,Good place for peace finders,Good place in Mumbai near Shastri Nagar. The place is peaceful. Its Hare Krishna temple and you will feel blessed as soon as you enter this place.
Sri_Sri_Radha_Rasabihari_Ji_Temple,ajay8187,5.0 of 5 bubbles,Aug 2017 • Family,Hare Krishna Temple in mumbai.,Its also known as iskon temple located near shashtrinagar.Feels so peaceful in this mandir.so good to feel there.
Sri_Sri_Radha_Rasabihari_Ji_Temple,Abhishek,4.0 of 5 bubbles,Apr 2018 • Friends,Hare Krishna,"Off all the Iskcon this is the Iskcon i like very much, you can feel the aura when evening aarti goes and automatically you start chanting and dancing"
Sri_Sri_Radha_Rasabihari_Ji_Temple,Mayur K Nahar,5.0 of 5 bubbles,May 2018 • Family,Beautiful,"Beautiful Temple with Great Atmosphere and Amazing Cleanliness, its a amazing place would recommend this to all."
Sri_Sri_Radha_Rasabihari_Ji_Temple,J Chand,4.0 of 5 bubbles,May 2018 • Family,Hare krishna hare rama,"Very nice temple. Clean, divine, having calm surrounding. Best place for peace. Idols are best known for their dressings. Daily shringars are worth watching."
Sri_Sri_Radha_Rasabihari_Ji_Temple,Abhishek Tarfe,4.0 of 5 bubbles,Sep 2017,Complete Bliss,"Honestly, I never knew there was such a beautiful temple that existed in Mumbai. I happened to go with my friend and had the best experience. The architecture is brilliant and so are the pandits and everyone who comes there. Must sit for bhajan as it leaves you in a positive and different world. Don't miss the Prasad!"
Sri_Sri_Radha_Rasabihari_Ji_Temple,Tamanna S,5.0 of 5 bubbles,Dec 2017 • Family,One should visit the place,Well maintained  peaceful place.it is good place for kid to adult. vegetarian pasad.we can send time here.parking facility......
Sri_Sri_Radha_Rasabihari_Ji_Temple,SaloniGarg,5.0 of 5 bubbles,Apr 2018 • Couples,Omg!,"I have visited so many ISKCON temples But the one in Mumbai near Juhu Beach is so we'll maintained and clean... The management is amazing... Almost all the facilities are available there.. Proper Security, Clean Drinking water, Clean Washroom, Clean Temple, Proper Queue Management...Other than this there are so many shops for books, gifts, clothes, accessories inside the temple.. there are so many food shop too like bakery, fast food, Indian food, etc... Inside the temple and even near the temple...Everything is perfectly Perfect... The vibes around the temple is so Positive! It's one of the best temple I visited...It's beautiful ❤️A must visit ISKCON temple 😊"
Sri_Sri_Radha_Rasabihari_Ji_Temple,MumbaiPradeep,5.0 of 5 bubbles,Mar 2018 • Couples,Peace and Divinity,"Associated with the ISCKON Movement, this temple is an icon of peace in the area. Must visit if you are seeking peace of mind and in search of bliss. "
Sri_Sri_Radha_Rasabihari_Ji_Temple,jsheetal892,3.0 of 5 bubbles,Mar 2018 • Family,beauty with peace,ISKON Temple officially known as SRI SRI RASABIHARI JI TEMPLE is a temple in juhu area. the temple is visited by thousands of devotees during festive seasons
Sri_Sri_Radha_Rasabihari_Ji_Temple,Mathilda B,2.0 of 5 bubbles,Mar 2018 • Couples,Overrated,"It’s a beautiful temple, the atmosphere is very relegious. To get a good experience I think you should be very informed about the relegion they practice. We didn’t eat there since we got the impression that it was very expensive."
Sri_Sri_Radha_Rasabihari_Ji_Temple,Jijesh K,5.0 of 5 bubbles,Dec 2017 • Family,Truely divine !!!,"Searching for peace and serenity ? must visit place in mumbai .Just go and sit there for while .The aura and the ambience will set you up.Must try prasad(food offering by the temple ).Its delicous  ...pure satvic food .Temple have good facilities for parking ,lockers ,resturants inside.Inside the temple ,stories of bhagvad gita is depicted in form of statues .Great free knowledge on hindu mythology . Good place to buy sovieners on hindu god such as jagnathh idols and tshirts  ...top seller for tourists . From the temple ,Juhu beach is 10 min away .Temple closes at 2pm and re-open at 4 pm ..Check the timimg from the iskon website as timing depended on the arti (ritual of worship)By train get down at andheri train station and take cab less than 150 rps (with traffic )"
Sri_Sri_Radha_Rasabihari_Ji_Temple,Indira R,5.0 of 5 bubbles,Mar 2018,Beautiful,Situated near the Zuhu  Beach and easily accessible from Santacruz or Vile Parle stations . It is a beautiful temple dedicated to Lord Krishna. The architecture and paintings of the temple are beautifully done and attractive.Worth the visit especially on week days when there is less crowd. Surroundings  is very peaceful.
Sri_Sri_Radha_Rasabihari_Ji_Temple,Ayse B,5.0 of 5 bubbles,Feb 2018 • Couples,Chanting,We went during the chanting.  There was very high energy. and quite a crowd.  There is parking and restaurant and facilities inside.  
Sri_Sri_Radha_Rasabihari_Ji_Temple,starsky18,4.0 of 5 bubbles,Feb 2018 • Couples,A good addition to a trip to Mumbai,Interesting to see this temple after being deluged years ago by Hare Krishna folks in the airports only. Learned a bit about their philosophy. 
Sri_Sri_Radha_Rasabihari_Ji_Temple,LRCH-RMd,5.0 of 5 bubbles,Feb 2018 • Friends,ISKCON Temple in Juhu,"ISKCON Temple in Juhu. Nice temple with many facilities, like Guest House and Restaurant. The story behind this temple is fascinating."
