Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Water_Kingdom,Chandrashekhar shelar,1.0 of 5 bubbles,Dec 2022 • Friends,Worse experience,Bogus service they took 1650 rs and no dress no food no locker 70 % rides closed worse experience very bad no one should go there
Water_Kingdom,Santosh Mhadgut,3.0 of 5 bubbles,Dec 2022 • Friends,The flaws of locker system at water kingdom,The slides are amazing but the lockers are very small and no proper information is provided about the size and the charges are too high of the locker and also there is no proper changing room in the mens locker room.
Water_Kingdom,Kshitij D,1.0 of 5 bubbles,Jul 2022 • Business,Worst experience ,"We have travelled with company booking of total 15 people. 14 tickets had a booking ID & 1 ticket was booked on the same day( order ID was generated). However, staff of Water Kingdom claim that until booking ID mail is not received they won't allow him. My question is it customer problem that your systems are slow/ not able to trace payments/ don't have correct systems to take spontaneous bookings ??? We have been waiting for last couple of hours just for the entry of one person. Terrible management and worst experience ever. Never coming back nor recommending to anyone. "
Water_Kingdom,Keith,3.0 of 5 bubbles,May 2022 • Family,Great first time experience...but lot of scope for improvement,"The rides were exciting. We enjoyed Adventure Amazonia the most. Since it was my kids first time, she was thoroughly entertained. Wave pool was also amazing....very crowded though.Note: those of you going first time....they say you have to leave all your belongings in the locker but here's what you can also do.....buy a mobile pouch at the venue which is almost waterproof if you want to carry mobile/cash with you advice don't carry very expensive mobiles...bring hats/caps if you like to protect from 🌞.....Few things about the area that could be improved......The gents urinals stink..they should clean regularly and apply freshners...Many of the showers not workingThere were these annoying fruit flies that bite...I got bitten 4 times....some pest control should be implemented....The ride surfaces/water not very clean....Over experience was good but I have given 3 star due to above shortcomings"
Water_Kingdom,amar choudhary,1.0 of 5 bubbles,May 2022,it is good but there is sme problem in water or clorine i got rases and itchiness,on 21st may 2022  i was gone to water kingdom and in the evening  there was my skin and whole body  rashes and Itchiness and its two days happen i go to the doctor i took a medicine & treatment  then i fine now and my frined also have this same problem i have to give  feedback and complain . thank you and there is so much crowd
Water_Kingdom,Anjali Upadhyay,1.0 of 5 bubbles,Apr 2022 • Friends,Highly dissatisfied,"Totally bad experience. I hade made the payment and they have received the payment successfully but they are not accepting and not ready to show statement, not listening to customer, doing fraud transaction with customers, even customer care does not responds. Mistreatment given to customer."
Water_Kingdom,Ravi J,2.0 of 5 bubbles,Apr 2022 • Family,Dirty water and inoperational rides in Waterkingdom,"Visited Waterkingdon on 2nd April 22 and found lots of mismanagement. Barring central wave pool, water was extremely dirty everywhere. 70% rides were inoperational and under maintenance. Want authorities to look into this on urgent basis. Hope my kids won't fall ill due to dirty water."
Water_Kingdom,Rahul S,5.0 of 5 bubbles,May 2021,very relaxing,it was a good experience and the place was very near and will surely visit may be on my next visit with family
Water_Kingdom,Rani75,5.0 of 5 bubbles,Feb 2021,Beat the Heat,"Super ride, Fun for everyone one.All age group people can enjoy.Go and enjoy the water ridesBeat the Heat !!"
Water_Kingdom,Youngest_traveler_,3.0 of 5 bubbles,Jan 2020 • Friends,Water Kingdom . ,"Had an amazing experience at water kingdom . The food is also very tatsy available at water kingdom . The crowd is sometimes not good at the place . But good place enjoyed a lot . You should visit this resort with your family and friends . With regards , Youngest_traveller_ "
