Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Gomti_Kund,Surya Katakam,4.0 of 5 bubbles,Feb 2022,Very ancient water found attached to lord Kirshna,"Gomti Kund is not separate attraction, it is part of Sandipani Ashram. I was checking with all localities to find out this attraction and finally I came to know that this is inside Ashram.This is not separate one but very old one around 3000 years old and has reference to the Puranas and Vedas. It is said that Lord Krishna bade the holy rivers from all over pilgrimage centers for his aged Guru to carryout his rituals easily. Since last 3000 years this Gomti Kund remain water source for ashram and till today it is the main water resource for Ashram. It is also believed that taking a dip in the sacred water of the tank can help to cure the problems of devotees who come here to pray. But now when I visited this place. it was barricaded from all the four sides and we cannot enter into the same."
Gomti_Kund,Gdj,4.0 of 5 bubbles,Feb 2019 • Family,Gomti kund,Famous place in ujjain.there is spiritual water tank. Near sandipani ashram. Lord krishna studies there.
Gomti_Kund,Gdj,5.0 of 5 bubbles,Apr 2019 • Family,Ankapata kund,This kund is situated at sandipani ashram campus. Local people said that lord krishna wash his slat on this kund . Nice place to visit.
Gomti_Kund,Himanshu Bhatt,3.0 of 5 bubbles,Aug 2018 • Friends,Historic water pond,its a spiritual historic water pond where several spiritual rituals are taken place and one can visit at ones very close to sandipani ashram. 
Gomti_Kund,Himanshu Bhatt,2.0 of 5 bubbles,Aug 2018 • Friends,Just a area with small pound,Ankapata is a place where there is  small pound and some temples are situated nearby location . nothing much to explore
Gomti_Kund,Gdj,5.0 of 5 bubbles,Feb 2019 • Family,Gomti kund ujjain,"This kund near to sandipai ashram,where lord shree krisha washed his slat after studies.the details and importance of this kund described in purans and ancient hindu sahitya."
Gomti_Kund,trivediar,5.0 of 5 bubbles,Apr 2019 • Family,Ancient and Pious,This is the kund where Lord Krishna used to clean his slate after attaining vidhya from his Guru Sandipani Rishi.
Gomti_Kund,rathod2017,4.0 of 5 bubbles,Oct 2018 • Family,Ankapata,Ankapata is not a big place and it need some maintenance. this place is located near sandeepani ashram.
Gomti_Kund,rathod2017,5.0 of 5 bubbles,Oct 2018 • Family,Gomti Kund,"Gomti Kund is a steep pond that holds a blend of all holy waters of the world. They say Lord Krishna summoned all the holy waters and created the Gomti Kund so that his guru, Sandipani, wouldn't have to travel to them. Till date, this is the single source of water supply for the entire ashram."
Gomti_Kund,Karpagavalli,5.0 of 5 bubbles,Nov 2018,Must see place,"The place is one of the must visit place in the city and has some historical significance near the famous santhiran ashram,the place where lord krishna took his schooling."
Gomti_Kund,Vishnu Pendyala,5.0 of 5 bubbles,Dec 2018 • Solo,Significant because of its location inside Lord Krishna's school,"Like with most religious places, read the legend about it before visiting to appreciate it better and make the best out of your time."
Gomti_Kund,Karpagavalli,5.0 of 5 bubbles,Nov 2018 • Family,Nice place,"This is a nice place to visit but can be well maintained, still can visit if time permits. otherwise not a big deal "
Gomti_Kund,Dilip123,3.0 of 5 bubbles,Oct 2018 • Family,Holy water but lacks maintenance,It makes me feel bad to give an average rating to this holy pond the waters of which were used by the Lord Himself.The pond is situated inside sandipini ashram. So not sure why this was added as a separate attraction. Travelers need not consider this as an extra place to visit since its included as part of your visit to sandipini ashram.The pond badly needs maintenance. It would be good to clean the pond and facilitate a holy bath. The current state doesn't allow to do so.
Gomti_Kund,Payal G,2.0 of 5 bubbles,Sep 2018 • Couples,Part of the Sandipani Ashram,This place is a tank with a stepwell within the Sandipani Ashram. As per the legend Lord Krishna summoned the holy waters from across India to this place so that his old teacher didn't have to travel far to the other holy places.Currently it's in a very dirty condition and people are not allowed inside (good decision because of the way people have littered). The new gallery for the 64 arts is built along its perimeter. Renovation and maintenance of the tank should be taken up next on priority basis.
Gomti_Kund,arunbvkumar,5.0 of 5 bubbles,Aug 2018 • Family,Accumulation of all the Holy waters of the World,This is a place inside the Sandipani Ashram. It is believed that Lord Krishna commanded  the water of all the holy rivers to assemble in this kund for his Guru Sandipani. At This Place all the 64 types of subjects was learnt by Lord Krishna in 64 days.
Gomti_Kund,Footprints727663,5.0 of 5 bubbles,Jul 2018 • Family,Beautiful,"I went to Gomti Kund. Resting amidst the peaceful environs of Sandipani Ashram, the Gomti Kund is a steep pond that holds a blend of all holy waters of the world. It is great place to go."
