Tourist Attraction,Name,Rating,Date and criteria,Title,Review
ISKCON_Ujjain_Temple,Surya Katakam,4.0 of 5 bubbles,Feb 2022,Fully Solar Powered ISCKON temple,"Ujjain ISCKON temple is most beautiful temple and its unique white marble architecture is so nice to witness. The campus is also huge one and clean and neat ambience enhances the beauty of this temple. This temple is situated on one of the main highway of the city which is near to Nanakheda bus stop.The temple houses the idols of Radha Madhana Mohan, Sri Krishna Balram and Sri Gauri Nitai dressed in vibrantly coloured dresses and beautiful jewelers.Temple Construction details: This temple was constructed with in 10 Months and 20 Days and Inaugurated in the year 2006. The marbles are collected from very famous mines of Makarana. This marbles are same marbles which were used in Taj mahal construction.Specialty of this temple:1. ISCKON Ujjain temple became a fully solar powered temple in 2011-2012. This is the first Solar powered temple in Ujjain and probably the only fully solar powered temple in ISCKON.2. ISCKON Ujjain is also the 1st temple to have LIVE broadcast in Ujjain City.3. ISCKON Ujjain is involved in lot of community service projects like Mid day meal program, Goshala which is contributing significantly in the field of social work.4. Mouth watering dishes are available in Govindas witch is just next to ISCKON main temple."
ISKCON_Ujjain_Temple,williamsamaddar,5.0 of 5 bubbles,Oct 2022,divine,"Located in the up-market neighbourhood of Mahashweta Nagar in Ujjain, this temple is magnificient. Well maintained with a huge premise the ambience inside is pure divine. They wake up the Lord at 4pm and offer Puja. This is pure bliss and is something that cannot be missed.  Jai Shri Krisna"
ISKCON_Ujjain_Temple,DKD007,4.0 of 5 bubbles,Sep 2022,Beautiful place of devotion,This is a beautiful place of devotion to Krishna bhagwan located in the center of Mahashweta Nagar a posh colony of Ujjain. Neat and clean place very well maintained by the devotees. Also has a restaurant Govinda and place of stay. 
ISKCON_Ujjain_Temple,KeshavChakraborty,5.0 of 5 bubbles,Mar 2022 • Couples,holding the glory of ISKCON,"A large ISKCON temple complex, also having idol of Narsimha avtaar which is very uncommon.A real chanting environment."
ISKCON_Ujjain_Temple,windpace,5.0 of 5 bubbles,Dec 2021,A mesmerising experience,"Try going during of the aarti sessions.  It is a nice experience.  We visited for a 7:30am aarati and it is an interesting experience to see how the volunteers work like clock work , the rituals and the devotion of the devotees."
ISKCON_Ujjain_Temple,skdel2016,5.0 of 5 bubbles,Nov 2021,Very Well managed Temple,It's a good Radha Krushna temple and well manged as ISKCON are known. A very good area with park and small canteen is there. A must go place to spend some time.
ISKCON_Ujjain_Temple,nilesh_nagar,5.0 of 5 bubbles,Sep 2020 • Family,One of the best ISKCON temple,"This is one of the best ISKCON temple I have visited. Beautifully made, peaceful surroundings, friendly people, shops r reasonable. My son liked pastry & cake from here. Enough parking area. Must visit place. Hare Krishna. "
ISKCON_Ujjain_Temple,Gdj,5.0 of 5 bubbles,Mar 2020 • Family,Iscon temple ujjain,Most famous religious place in ujjain.lord radha krishna temple.atractive place to visit in ujjain.devotee prays regulary there.
ISKCON_Ujjain_Temple,Dudeace,4.0 of 5 bubbles,Nov 2019 • Friends,Peace,"This place is one of the most religious place in ujjain,all the things that means real peace are available there"
ISKCON_Ujjain_Temple,Gdj,4.0 of 5 bubbles,Aug 2019 • Family,Iscon temple ujjain,I like most to visit iscon temple ujjain.god radha krishna murtis most attractive.and shrangar of god is also looking most attractive to me.
