Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kal_Bhairav_Temple,Sudha,3.0 of 5 bubbles,Jan 2023 • Friends,Can be avoided,Very unhygienic surroundingsSurprise element was the alcohol offering to the deityThe socalled devotees were only speaking about the alcohol prasad
Kal_Bhairav_Temple,S M,5.0 of 5 bubbles,Dec 2022 • Couples,Very good darshan,"Huge line, but managed a good darshan. 🙏🙏Temple clean and neat.  Lots of monkeys around. There's a temple dedicated to Sri Dattatreya God, single face."
Kal_Bhairav_Temple,pmmathur,4.0 of 5 bubbles,Oct 2022,Very open spacious Temple,Belief is that Kal Bhairav was the lords defence incharge and therefore kal bhairav should be also worshiped with the lord. Here wine/alcohol is offered as prasad to the lord. This temple is far from Mahakaleshwar temple. 
Kal_Bhairav_Temple,williamsamaddar,5.0 of 5 bubbles,Oct 2022,Powerful place,"A trip to Ujjain is incomplete without offering a puja to Kaal Bhairav, the fearsome form of Lord Shiva who is believed to be the guardian deity of the city. Located a little over 5 kilometers to the north"
Kal_Bhairav_Temple,moloybora,5.0 of 5 bubbles,Sep 2022 • Friends,Best place to for Rahu Dosha elimination,This is an unique temple in Tantrik Tradition and supplements Darshan of Maha Bhairav Temple  in Ujjain. The uniqueness is that the devotees offer liqueur in this Temple to the Shrine
Kal_Bhairav_Temple,DrValliappan,5.0 of 5 bubbles,Sep 2022 • Friends,"A rare temple of Kaala Bhairavar (Kal Bhairav) in Ujjain, Madhya Pradesh, Central India","The vaahan (accompanying animal form; a statue of which faces the deity here is dog). There is also an unique tree of lamps just outside the temple. Small temple but, a lot of barricades make long, winding path for queues and combing the steps. Small shrine and on permission, photos / videos are allowed. If one goes through a shop keeper by buying archana items, short cuts to enter and exit temple are provided. No entry fee or charges. Kal Bhairav here is offered with bottles of liquor (as coconut, garland, banana, betel leaves etc are offered in many temples) and there are Pooja items shops with liquor shops outside. An unusual experience."
Kal_Bhairav_Temple,dimpoo1971,4.0 of 5 bubbles,Aug 2022,UNIQUE TEMPLE,"It is said that this must be visited to complete the Mahakaleshwar Darshan.The Prasad is Liquor, but it is not mandatory to offer it. Flowers can also be offered.First time in life I saw liquor being offered to God as Prasad in the temple.Temple is surrounded by shops selling liquor bottle along with flower, sweets etc."
Kal_Bhairav_Temple,BharathiMani,5.0 of 5 bubbles,Aug 2022 • Couples,Unique,A very unique and interesting temple. Kaal  Bhairav ji likes alcohol so that's offered to him. There are liquor shops outside.The temple entrance can be better maintained.
Kal_Bhairav_Temple,Surya Katakam,5.0 of 5 bubbles,Dec 2021,Unique Place where liquor offered to please God,"Shri Kal Bhairav temple is one of the famous and most visited temple of Ujjain situated close to Shipra river, which is located @ 6 km distance from Ujjain Mahakal Mandir.Ujjain Kal Bhairav temple is as much famous as Varanasi Kal Bhairav temple and there are some similarities between these two temple's formalities, one of that is visiting Kal Bhairav temple before visiting the Main Mahakal temple. It is believed that Kal Bhairav temple is located here since 6000 years and also details are mentioned in the Skanda Puranam. Present visible temple is built by King Bhadrasen in 9th century and then renovated during Maratha rulers, and there are suppose to be some good paintings in the Malwa style inside  but they are not visible today. Secondly no one has attention towards them as all eyes are on the deity, into whose mouth liquor is poured. This temple is Known for:1. This Kal Bhairav is regarded as the guardian of Avanthikapuram, which is called as Ujjain today. Due to this reason Ujjain Kal Bhairav lord is also called as Kotwal of the city.2. Liquor is offered here to Devotee as Prasad through out the year, witch is strange but true. The Priest offers Liquor in saucer and takes the saucer near the mouth of the Kal Bhairav idol, When he starts tilting the saucer, with in Minutes the wine will get empty and no one knows where it is going. Devotees believes that lord is having this Liquor.3. As per the standard rule Devotees first has to visit this temple and then only visit Mahakal Mandir. It is believed that without visiting Kal Bhairav temple, Ujjain trip will not fulfill and also if you are not visiting Kal Bhairav before Mahakal Mandir Visit, your wishes will not fulfill and will not get blessings of Mahakal. So most of the visitors first Visit's Kal Bhairav and then visits Mahakal Temple.Temple Timings:Morning 06:00 to Evening 08:00"
Kal_Bhairav_Temple,KeshavChakraborty,5.0 of 5 bubbles,Mar 2022 • Couples,Offering of liquor to God,"Very popular among pilgrims and tourists and also believed to be Live, that's why you will find much more crowd in this temple."
Kal_Bhairav_Temple,SudarshanKS,5.0 of 5 bubbles,Apr 2022,unique Kaalbhairav temple,A nice temple dedicated to Lord Kalbhairav. The key offering to the Lord here is liquor sold in shops outside.Very nice kalbhairav moorthy and a blissful darshan
Kal_Bhairav_Temple,abkush,5.0 of 5 bubbles,Dec 2021,Nice temple,"We visited the temple during evening. It's a small temple with people offering liquor to Kal Bhairav ji.There is one huge deepmalika here, which is lighted in evening, we waited another 45 minutes for it to be lighted up, and it was very much worth the wait.The whole process of preparing deepmalika (towers of oil lamps) and lighting it up is quite unique and should not be missed.Darshan are quick and easy."
Kal_Bhairav_Temple,windpace,3.0 of 5 bubbles,Dec 2021,Check if the construction is over if travelling with elderly,"We visited the Kal Bhairav Temple in December 2021 along with my in-laws.  There is a lot of construction happening in front of the temple which meant my mother in law who has problems in walking had to take a round about (uneven) road to reach the temple.  So, if you are planning to visit with elderly or with divaang then you may want to check the status before making plans.  It is not that it is impossible to visit with them but it will likely be inconvenient.  Rest is all like what is said in other reviews."
Kal_Bhairav_Temple,skdel2016,5.0 of 5 bubbles,Nov 2021,Unbelievable but True,Its an old temple complex . The main prashad is wine which is being offered to  Shri Kal Bhairav. The offered wine is drunk by Shri Kal Bhairav statue. Normally there is rush which can be managed better but administration is lacking here . In case of heavy rush Purohit put your offering of wine in container near Shri Kal Bhairav  which later being offered to Shri Kal Bhairav. It's unbelievable but true that statue drink the wine. There might be different science angle in this phenomenon but aastha and believes  are above all logics. Shi Kaal Bhairav is supposed to Senapati ( Head of Army) of Shri Mahkaal Raja.  Beware of Monkeys as well. Jai ho..
