Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ram_Mandir,Gdj,5.0 of 5 bubbles,Oct 2019 • Family,Ram mandir ujjain,Lord ram mata seeta lakshma and hanuman murties at there. Near to harsiddhi temple.peaceful place. Not more crowded.
Ram_Mandir,Sivakumar V,4.0 of 5 bubbles,Oct 2018,A peaceful serene temple,"Amidst the better known Mahakaleshwar & Harsiddhi  is this beautiful temple dedicated Lord Ram. He give Dharshan with Janaki ( Sita ) & Lakshman with Hanuman seeated at their feet bowing down. There are shrines for Shiva and Kali also here. Situated on the banks of the river Shirpa, it is said to have the oldest of Ghats. Harthi to river is said to be performed everyday.A very calm and peaceful atmosphere prevailed when we visited this place. Reasonably kept well."
Ram_Mandir,Gdj,4.0 of 5 bubbles,Apr 2019 • Family,Ram mandir ujjain,This mandir is near to harsiddhi temple. Situated on bank of shipra river ramghay.large space temple.
Ram_Mandir,Himanshu Bhatt,3.0 of 5 bubbles,Aug 2018 • Friends,Small temple dedicated to Lord Rama,Its a very small temple dedicated to lord Ram. only few peoples visited this place not very famous but situated at cool place. 
Ram_Mandir,rathod2017,5.0 of 5 bubbles,Oct 2018 • Family,Ram Mandir,Ram Mandir as the name suggests is dedicated to Lord Rama who is seen here with his wife Sita on one side and his brother Laxman on another. the architecture of this temple is marvellous.
Ram_Mandir,Karpagavalli,5.0 of 5 bubbles,Nov 2018,One more temple in the city,The temple is one of several temples along the gusta dedicated to lord ram and since it's not that much crowded can have a quick visit.
Ram_Mandir,meenakshimuthusamy,5.0 of 5 bubbles,Oct 2018 • Family,Ram temple,The temple has got a famous in the city.The place is nice to visit.The place has got a good feel after the visit.
Ram_Mandir,ARUN,5.0 of 5 bubbles,Nov 2018 • Family,BEAUTIFUL AND PEACEFUL HISTORICAL TEMPLE,"If u are planning to visit ujjain you must visit this temple. Such a nice and beautiful place with nearby lake ""vishnu sagar"" where u can enjoy boating. two temples of lord ram(statues are in walking posture) and lord vishnu is there. no so many stairs. Dont miss if ju are in ujjain..............."
Ram_Mandir,akankshacoolgirl,4.0 of 5 bubbles,Sep 2018 • Family,Religious Place,Ram Mandir is a famous ram temple in the city of temples ujjain.The temple has a lot of stairs so plan accordingly.
Ram_Mandir,Bimal0401,5.0 of 5 bubbles,Feb 2017 • Family,Jai Shri Ram,"The temple of Lord Rama and Janaki is very neat and clean. The atmosphere is very peaceful and pious. It is recommended to visit this temple when at Ujjain, a city of temples."
Ram_Mandir,parmanand06,4.0 of 5 bubbles,May 2017 • Solo,ram mandir,"Ujjain is the city of temple, This temple is for lord ram.Both the-Ram Janki temple and Vishnu Janardan temples in Ram Janardan temple.This is very old temple .Beautiful paintings,art."
Ram_Mandir,vinsach,5.0 of 5 bubbles,Dec 2016 • Family,Ram Mandir,"nice religious place, must visit with anyone ,family, friends. very peaceful and calming place. one must definitely go."
Ram_Mandir,yogindery,5.0 of 5 bubbles,Sep 2016 • Friends,Ram Mandir,ujjain city is very holy and 'historical' city in india. if called temple nagari no doubt.Ram Mandir is one of them near to shipra river ram ghat also a sightseeing place in ujjain.
Ram_Mandir,perplexed_soul,3.0 of 5 bubbles,Aug 2015 • Family,Small and calm temple,"Idols of Lord Rama, Sita and Laksmana are there in this small temple. Need to climb lot of stairs to reach to the top. One of the many good places to visit in Ujjain."
Ram_Mandir,rahulkumar1411,4.0 of 5 bubbles,Apr 2015 • Family,ram mandir, one of the beautiful temple surrounded by few more small shrine nearby.i found this place good for meditation.
Ram_Mandir,law_madhulika,4.0 of 5 bubbles,Oct 2015,Ujjain is the city of Temple,Ujjain is the city of temple. Its a holy place. this is a temple on Ram sita and Lakshman. you will also get to worship hanuman here as one of the bhakt of shri ram.
Ram_Mandir,Vikas Singh,4.0 of 5 bubbles,Jun 2015 • Family,Ram Janardan temple,"Both the-Ram Janki temple and Vishnu Janardan temples in Ram Janardan temple complex were built by Mirza Raja Jai Singh in the 17th century. What makes the idol of Ram unique is the fact that Ram is shown with a beard. The boundary wall and the tank nearby were added by the Marathas in the 18th century. Beautiful paintings from the Maratha period depicting scenes from Ramayana can be seen in the garbha griha. The sculpture of Sheshasayi Vishnu installed between the assembly hall and the garbha griha of Ram Janki temple belongs to the 10th century while that of Bramha, Vishnu and Mahesh belongs to the 12th century AD."
Ram_Mandir,JAGDISH RAVAL,3.0 of 5 bubbles,Apr 2014 • Friends,A small Temple,"Ram Mandir is at Ram mandir Ghat at bank of River Shipra. Here is temple of Lord Rama. There are idols of Ram,Laxman & Jnaki along with Hanumanaji. A small temple."
Ram_Mandir,Anshuman A,5.0 of 5 bubbles,Jan 2015 • Friends,Temples,"Seoni is located between Jabalpur and Nagpur.  In the middle of crossing various small villages with unknown names, you will suddenly find Seoni with great religious activities.   The city has Jain Temples of Shwetambar and Digambar sects, Hanuman Temple besides the Ram Temple which is very famous.    There is also a lake by the name of Dal Sagar Lake in the town. The place is famous for Peda of a special type."
Ram_Mandir,vinodkhedkar,4.0 of 5 bubbles,Jul 2014 • Friends,Ram Temple,"This is a hundred year old temple which was reconstructed in the year 1974.This temple has number of steps to climb.This is a temple where idol Lord Ram,Sita and Laxman is been worshiped."
